Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,"Population ages 55-59, male (% of male population)",SP.POP.5559.MA.5Y,2.728333271,2.939445221,3.176905781,3.400503778,3.56874396,3.655975223,3.642348943,3.568035469,3.450206453,3.340059843,3.267792855,3.202479339,3.166723725,3.141289905,3.125954587,3.101169293,3.073791349,3.039793035,3.003177423,2.980529035,2.970195623,2.998272182,3.058288162,3.142432745,3.264279179,3.421001237,3.57644905,3.829632567,4.173895636,4.527447651,4.810985355,4.641548436,4.437861058,4.285276159,4.23556716,4.271001616,4.336242086,4.388564872,4.426048306,4.470348312,4.540789564,4.656945098,4.803675856,4.964370546,5.139491367,5.305418926,5.570042766,5.822600748,6.059726856,6.284650393,6.511915816,6.688866963,6.875383671,7.081339713,7.292173068,7.510534911,7.725657855,7.94275778,8.128333731,
Afghanistan,AFG,"Population ages 55-59, male (% of male population)",SP.POP.5559.MA.5Y,2.630478111,2.581977697,2.53170129,2.484272564,2.446192421,2.419993868,2.391575476,2.374244777,2.363989196,2.356274538,2.348331339,2.329440952,2.313604887,2.300773177,2.291560561,2.286421937,2.26798111,2.251483897,2.23852546,2.230770981,2.22847549,2.213061282,2.189892665,2.152001407,2.090448299,1.998280008,1.928322858,1.850356767,1.768729605,1.689926821,1.616630287,1.658815953,1.711907587,1.768054315,1.82495507,1.884254533,1.887049098,1.893002775,1.900155455,1.903781886,1.90025584,1.884697215,1.870967332,1.861054535,1.857850913,1.862771045,1.868731235,1.876946431,1.885253651,1.891865783,1.896382078,1.888797804,1.887061558,1.892386971,1.905693181,1.926765812,1.947215686,1.97209037,1.999985021,
Angola,AGO,"Population ages 55-59, male (% of male population)",SP.POP.5559.MA.5Y,2.345904599,2.325102646,2.292851063,2.272240847,2.292114554,2.362636477,2.438752199,2.491948595,2.474412342,2.366595015,2.194813742,2.195997651,2.20508328,2.216716061,2.22404941,2.223068589,2.181876996,2.143589725,2.114579517,2.102923982,2.11180571,2.127961335,2.157082299,2.190729137,2.220090129,2.240297965,2.233677506,2.223954884,2.211045597,2.194121944,2.173159813,2.132151901,2.091562084,2.05319786,2.019353222,1.991145134,1.954087241,1.922151703,1.898024548,1.885259997,1.884299718,1.879805194,1.888114451,1.900160036,1.904266394,1.895477656,1.863686061,1.825176689,1.79019997,1.771561667,1.774353494,1.780585669,1.800338855,1.830648655,1.868804926,1.912271293,1.949439783,1.996519297,2.039004271,
Albania,ALB,"Population ages 55-59, male (% of male population)",SP.POP.5559.MA.5Y,2.684469598,2.686906452,2.729475469,2.793345875,2.853131499,2.896142275,2.912447701,2.92225624,2.926387733,2.927394933,2.925968799,2.913562915,2.902499581,2.888776286,2.865049811,2.829566045,2.768137374,2.695488466,2.634412184,2.618278055,2.662841759,2.75034503,2.892921871,3.058911403,3.203283712,3.302007238,3.349970792,3.359293291,3.352348885,3.361999602,3.406552461,3.516699093,3.658330868,3.815319995,3.958797059,4.067541959,4.083595731,4.092464885,4.10747504,4.144741025,4.215961291,4.289178138,4.368148807,4.45848184,4.570687598,4.711544967,4.820432034,4.957106569,5.121149644,5.308185975,5.512609524,5.700787316,5.90553184,6.118478682,6.322689772,6.504373899,6.629637387,6.72603478,6.782663296,
Andorra,AND,"Population ages 55-59, male (% of male population)",SP.POP.5559.MA.5Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Population ages 55-59, male (% of male population)",SP.POP.5559.MA.5Y,2.686064153,2.666803943,2.655551819,2.648694993,2.640711363,2.628045015,2.590902296,2.552249524,2.514814665,2.483784892,2.462552043,2.439047292,2.424527223,2.415741361,2.411223882,2.411544121,2.403425973,2.40123784,2.403414221,2.409401647,2.419170431,2.416148103,2.415279819,2.414363557,2.412789498,2.411383107,2.408445323,2.407078086,2.403446933,2.393987324,2.372829574,2.35468288,2.338408194,2.321134062,2.30427411,2.285902635,2.256430515,2.226607741,2.201735248,2.189628621,2.194669211,2.225402404,2.270769122,2.328306836,2.396229709,2.472327634,2.539323351,2.616701345,2.697162985,2.773016924,2.84116388,2.898594379,2.951366647,3.003152855,3.060301338,3.125845395,3.178317777,3.242005154,3.310198891,
United Arab Emirates,ARE,"Population ages 55-59, male (% of male population)",SP.POP.5559.MA.5Y,2.5525201,2.095515635,1.782165099,1.574499121,1.447413174,1.377247552,1.380253537,1.357924007,1.319306484,1.286381087,1.285594218,1.322700079,1.271459276,1.170298176,1.100363885,1.13625019,1.14039278,1.210558111,1.286249149,1.319234149,1.312037233,1.343297852,1.344141343,1.328933766,1.319545233,1.334719606,1.344837744,1.369701822,1.408887117,1.456473041,1.512283864,1.502937388,1.452547408,1.381399154,1.327487773,1.316108659,1.390667194,1.472131824,1.531651225,1.549386151,1.53306237,1.570705652,1.607812759,1.644035844,1.674674885,1.695557113,1.561025885,1.45774647,1.38683118,1.362576416,1.39697428,1.552006483,1.756926347,2.012112445,2.293368581,2.56037016,2.872556874,3.174582237,3.438468932,
Argentina,ARG,"Population ages 55-59, male (% of male population)",SP.POP.5559.MA.5Y,4.298985831,4.321021493,4.339418096,4.355375121,4.370282071,4.384895734,4.374955594,4.367033716,4.360139105,4.352244618,4.34259194,4.3138574,4.282222478,4.255402097,4.24357362,4.251258208,4.265768061,4.294864701,4.332973458,4.373213149,4.411437153,4.411936031,4.418304128,4.42481207,4.423614591,4.411027125,4.38222745,4.34131182,4.293373474,4.244427649,4.197247794,4.131828372,4.070460355,4.01859378,3.983314,3.969089091,3.96107766,3.972774807,4.002192222,4.047170045,4.105338305,4.160754768,4.227800817,4.299900317,4.367928856,4.42613031,4.455184694,4.478180853,4.49611766,4.510373711,4.522012462,4.51215897,4.499552459,4.488177458,4.483965623,4.490019844,4.488229736,4.499817715,4.519058697,
Armenia,ARM,"Population ages 55-59, male (% of male population)",SP.POP.5559.MA.5Y,2.984271335,2.970178689,2.945054674,2.911385107,2.872595276,2.829098501,2.77042173,2.723363677,2.665346142,2.563430205,2.404967545,2.213646106,1.975165853,1.738937929,1.573068593,1.51453493,1.539226339,1.657527522,1.880587974,2.215503064,2.648276447,3.119110748,3.677371244,4.231425526,4.655455163,4.885151529,4.915089273,4.764023981,4.535569944,4.379015868,4.370799831,4.510920617,4.812282317,5.165395241,5.376036438,5.317995766,4.918592911,4.253807726,3.477370746,2.831054823,2.460858341,2.376198766,2.55864991,2.931917387,3.359422009,3.748707084,4.080229259,4.359181313,4.598036834,4.845892197,5.140412864,5.460684439,5.840644438,6.223317263,6.525915637,6.701140742,6.747505818,6.688071421,6.544145182,
American Samoa,ASM,"Population ages 55-59, male (% of male population)",SP.POP.5559.MA.5Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
