Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,"Population ages 70-74, female (% of female population)",SP.POP.7074.FE.5Y,0.81418491,0.842418236,0.872295883,0.906292158,0.948714423,1.001161758,1.039013955,1.083544304,1.134266251,1.196985863,1.25902856,1.342016973,1.423022945,1.515298689,1.625676024,1.756132015,1.796792131,1.85227016,1.9135342,1.983804351,2.071025125,2.158227033,2.234938801,2.280844664,2.308981441,2.321837657,2.314699276,2.308861722,2.318327974,2.323030264,2.314800114,2.177769621,2.058866174,1.968439445,1.907806538,1.891520094,1.839243499,1.806759297,1.818628656,1.875354355,1.969416619,2.078799561,2.199733366,2.329112925,2.457653337,2.579402905,2.71859344,2.853859775,2.984428251,3.093462871,3.186090226,3.202127261,3.203277773,3.213691027,3.264225849,3.366701984,3.491752053,3.652761712,3.848782418,
Afghanistan,AFG,"Population ages 70-74, female (% of female population)",SP.POP.7074.FE.5Y,0.79714422,0.796615393,0.794969873,0.792831152,0.790061936,0.786675937,0.786932913,0.785386118,0.783165206,0.780943003,0.778964436,0.778742967,0.777399964,0.775937975,0.775099572,0.7752498,0.774818698,0.771364439,0.765843901,0.759216442,0.752486173,0.753057069,0.747385904,0.735303206,0.717101867,0.692983529,0.701364051,0.709220731,0.715585148,0.718682583,0.716730277,0.721283403,0.728113841,0.735502007,0.742857344,0.751981381,0.74607911,0.737483661,0.72862317,0.720892683,0.714319056,0.700079453,0.689180473,0.682333707,0.680199379,0.683035042,0.6885306,0.696163042,0.705053941,0.713867429,0.722208908,0.720205686,0.71790854,0.720182874,0.732836327,0.757605603,0.786884929,0.824387674,0.862531355,
Angola,AGO,"Population ages 70-74, female (% of female population)",SP.POP.7074.FE.5Y,0.879635616,0.900187792,0.92308093,0.945830701,0.965677183,0.981529023,0.965562911,0.94887891,0.92640046,0.887235474,0.820954144,0.78984409,0.742246828,0.697714663,0.67667913,0.684990487,0.702763799,0.738899352,0.777638655,0.800946546,0.803705101,0.787454143,0.757598675,0.728945937,0.716825061,0.725566481,0.73999126,0.766578847,0.793788136,0.808467164,0.807238197,0.787318412,0.75751791,0.730875702,0.721138019,0.732396834,0.751255128,0.780308053,0.811299094,0.835414519,0.85009838,0.850525036,0.844232199,0.836965941,0.834493558,0.838450852,0.839511032,0.844761928,0.848678522,0.844271448,0.82984881,0.801733749,0.767725984,0.735759659,0.714017955,0.705066637,0.699932156,0.703569615,0.710037712,
Albania,ALB,"Population ages 70-74, female (% of female population)",SP.POP.7074.FE.5Y,1.834393879,1.755976937,1.654090292,1.557409067,1.501217731,1.500084603,1.518323889,1.581550702,1.657857812,1.706876776,1.711408915,1.660554159,1.578380015,1.495031118,1.447146865,1.449260547,1.469541459,1.525834522,1.597282567,1.657872961,1.69540734,1.698262925,1.688432431,1.674705552,1.666539423,1.667779903,1.657370539,1.653658832,1.656561108,1.667424329,1.687256325,1.709987254,1.743769611,1.789332461,1.846294548,1.913490864,1.930675007,1.957072041,1.992079768,2.029794317,2.06483626,2.106285426,2.143208443,2.185363173,2.24721872,2.33647265,2.453519648,2.607376995,2.786183092,2.967337762,3.135080156,3.209627849,3.293955052,3.406707204,3.548488568,3.701513951,3.726801513,3.744571714,3.770541991,
Andorra,AND,"Population ages 70-74, female (% of female population)",SP.POP.7074.FE.5Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Population ages 70-74, female (% of female population)",SP.POP.7074.FE.5Y,1.105430729,1.108569906,1.112052933,1.117613661,1.127193973,1.141420872,1.148654823,1.158646918,1.169801896,1.180105566,1.189230892,1.185748389,1.181960401,1.180132807,1.182153956,1.188460819,1.185159858,1.184945536,1.186314872,1.18698311,1.186100971,1.171100844,1.15636752,1.144709577,1.138623309,1.138804252,1.129454722,1.125057269,1.126152394,1.133283036,1.142495668,1.147982096,1.163639767,1.177043402,1.194165572,1.210651477,1.21798817,1.227095386,1.239081568,1.254458576,1.273122398,1.276385902,1.283332047,1.29349659,1.304869856,1.315824178,1.312972936,1.309980029,1.307637051,1.306283421,1.306132858,1.290935337,1.277617577,1.268976429,1.268548763,1.278119169,1.28154378,1.292999735,1.313485982,
United Arab Emirates,ARE,"Population ages 70-74, female (% of female population)",SP.POP.7074.FE.5Y,1.11161672,1.079314173,1.047626411,1.018060613,0.990352163,0.955979718,0.904134064,0.858886683,0.815247635,0.763309566,0.690081248,0.545612367,0.400239057,0.271229204,0.206267517,0.240371711,0.329120384,0.429894331,0.510693914,0.560002872,0.592996776,0.62410852,0.646413609,0.650222202,0.630328915,0.594047403,0.554890376,0.501463219,0.447315929,0.409523125,0.397227816,0.397789489,0.416147435,0.439673773,0.451467852,0.442386273,0.412840092,0.370540144,0.32815805,0.302294286,0.299528385,0.306771819,0.328689542,0.35391565,0.368693671,0.367035812,0.33400232,0.299844718,0.268786539,0.244047825,0.225576965,0.21392236,0.205206724,0.202416661,0.208841012,0.224650097,0.251351243,0.288270941,0.329660758,
Argentina,ARG,"Population ages 70-74, female (% of female population)",SP.POP.7074.FE.5Y,1.671736401,1.703990641,1.734943231,1.768571649,1.810130886,1.862238439,1.905020281,1.956153359,2.013084588,2.073302253,2.135792983,2.179530312,2.225834103,2.273560631,2.321709279,2.37013037,2.402691184,2.435096058,2.469668778,2.510857534,2.561422389,2.589100254,2.629613332,2.674931001,2.714721128,2.744710158,2.748755932,2.743866009,2.738654856,2.745007295,2.768297416,2.783655878,2.81275854,2.851584508,2.895033218,2.94005122,2.962688081,2.991063683,3.019079768,3.038600598,3.045287931,3.021489488,2.988398149,2.952319705,2.921783469,2.90132924,2.866761745,2.842554024,2.82933148,2.828787466,2.842101253,2.848432878,2.868002119,2.899437631,2.942308162,2.995879883,3.039861255,3.095618479,3.157688142,
Armenia,ARM,"Population ages 70-74, female (% of female population)",SP.POP.7074.FE.5Y,2.261105242,2.060729753,1.820562199,1.58132755,1.397588617,1.296196166,1.250385935,1.258035598,1.303030303,1.378108313,1.482238889,1.580869837,1.69518129,1.804615514,1.889892891,1.948428569,1.994973921,2.020260208,2.029927797,2.034900441,2.042751223,2.046783626,2.066686502,2.079911831,2.056147782,1.983518118,1.848070441,1.680953024,1.521614365,1.424836975,1.419199365,1.492845277,1.624150954,1.809310627,2.049970314,2.348796901,2.663748331,3.045076249,3.428700822,3.717148756,3.855276399,3.792813091,3.581640434,3.328671801,3.191743649,3.254290259,3.451853694,3.84411722,4.2819339,4.542060297,4.505138269,4.13757362,3.52319398,2.836055109,2.312847563,2.073181588,2.058794971,2.262882456,2.594135782,
American Samoa,ASM,"Population ages 70-74, female (% of female population)",SP.POP.7074.FE.5Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Population ages 70-74, female (% of female population)",SP.POP.7074.FE.5Y,1.550091896,1.442340556,1.38214671,1.386994845,1.458968558,1.542433043,1.438484205,1.367181431,1.357410853,1.419420804,1.517636185,1.527103861,1.539289237,1.56960805,1.638497082,1.723715633,1.74585091,1.761760524,1.803588583,1.869449103,1.945040924,1.99251637,2.025466575,2.057960152,2.106447479,2.167996246,2.250430967,2.305638448,2.337931685,2.358431471,2.377479127,2.315267923,2.26147986,2.218120019,2.168943247,2.112303191,2.032056506,1.960057212,1.915669192,1.886458465,1.85373601,1.825334767,1.795193514,1.785799551,1.80688743,1.849084796,1.852491878,1.842679269,1.82925464,1.823439811,1.833943196,1.869339815,1.924139984,1.987005614,2.059925094,2.136250335,2.220317538,2.320030745,2.430660008,
Australia,AUS,"Population ages 70-74, female (% of female population)",SP.POP.7074.FE.5Y,2.832750695,2.837252181,2.840265932,2.845309726,2.850486499,2.852440338,2.793891844,2.742646103,2.701968903,2.670743199,2.645411121,2.615980393,2.594163386,2.597549123,2.632633109,2.690151262,2.705042762,2.733293821,2.777560379,2.83907511,2.915671947,2.987641425,3.071498538,3.156785438,3.226816001,3.270927387,3.243820814,3.199554904,3.160249442,3.151881342,3.183980468,3.226890378,3.301973286,3.39374097,3.476431949,3.532441271,3.550301362,3.547790269,3.527223901,3.494559879,3.454767811,3.379641259,3.300348502,3.22730105,3.175066888,3.151820938,3.13139147,3.134985077,3.153064905,3.177751829,3.209561082,3.241940395,3.285506172,3.350839944,3.447156074,3.57297289,3.720964685,3.896506735,4.076934235,
Austria,AUT,"Population ages 70-74, female (% of female population)",SP.POP.7074.FE.5Y,4.02189162,4.046850113,4.077878088,4.1218325,4.187429383,4.278160943,4.33012412,4.401785689,4.488194078,4.582316992,4.680520528,4.728535554,4.781136729,4.841899025,4.912958719,4.993116634,5.037084327,5.082063651,5.129781754,5.181483783,5.233878867,5.230912266,5.249463353,5.253491579,5.186440593,5.02128646,4.701197632,4.276987118,3.858327689,3.610104078,3.618559431,3.809752007,4.238045345,4.769550771,5.209956894,5.449851788,5.470739388,5.333462002,5.101920431,4.864843094,4.671345517,4.468430551,4.283334246,4.128905143,4.027027417,3.991916252,4.002729978,4.078252987,4.202556859,4.35516344,4.522229127,4.696374094,4.896247866,5.089921606,5.2345513,5.306691112,5.267637093,5.167727982,5.034275272,
Azerbaijan,AZE,"Population ages 70-74, female (% of female population)",SP.POP.7074.FE.5Y,1.943331791,1.792009303,1.595144898,1.410387948,1.304018031,1.300122264,1.352140585,1.469319243,1.619790969,1.765684555,1.88860114,1.960737304,2.019096596,2.05957862,2.073081254,2.055866892,1.988193785,1.896488078,1.807891686,1.752760234,1.742992998,1.751655074,1.790072274,1.832802309,1.84403815,1.807687543,1.718990563,1.599069252,1.478591524,1.392100598,1.353007083,1.327243069,1.333733926,1.373759274,1.445918305,1.543128644,1.639668912,1.748921472,1.850818107,1.926097442,1.971556779,2.005252038,2.015604743,2.028324633,2.071827452,2.152984405,2.23744263,2.353125307,2.451692641,2.469641718,2.383214021,2.220714552,1.984739139,1.732213108,1.534838244,1.427487491,1.377583071,1.393358264,1.462632,
Burundi,BDI,"Population ages 70-74, female (% of female population)",SP.POP.7074.FE.5Y,0.96127335,0.949756253,0.934344174,0.921040334,0.917067358,0.925181039,0.936399547,0.953221146,0.971091018,0.985486635,0.995185399,1.014131384,1.025352751,1.029570156,1.03009308,1.029963922,1.022442979,1.018839925,1.017329512,1.015492456,1.012798033,1.001320618,0.989898372,0.980127978,0.972765918,0.967255295,0.954419237,0.94196661,0.931080869,0.922584136,0.916841906,0.904797888,0.893786258,0.883782933,0.874018876,0.86456235,0.861501595,0.855682898,0.848468409,0.841298168,0.834323239,0.821418843,0.810534185,0.800390106,0.789296576,0.77653893,0.763030579,0.74894885,0.735413688,0.72328926,0.713006993,0.698395567,0.687184323,0.678135529,0.66930465,0.6605581,0.645714086,0.630209865,0.621436351,
Belgium,BEL,"Population ages 70-74, female (% of female population)",SP.POP.7074.FE.5Y,3.728485132,3.745815046,3.782550395,3.838962606,3.913984695,4.006401587,4.063256397,4.136270238,4.222125051,4.315911378,4.413554203,4.468241758,4.5252873,4.583775566,4.640481556,4.692210585,4.68762799,4.675038096,4.663163905,4.663199374,4.678347275,4.673395371,4.697728171,4.714937284,4.670567527,4.53878789,4.286610338,3.943894224,3.604185767,3.406632293,3.424420453,3.601652558,3.968016155,4.417735046,4.803049291,5.044414127,5.136682903,5.119283123,5.039882663,4.966845034,4.93561741,4.893315124,4.877500162,4.873979324,4.863555633,4.836495956,4.778110738,4.714443197,4.640627159,4.552438311,4.450746519,4.313785449,4.168776509,4.047441354,3.997056252,4.039780482,4.168158268,4.388636157,4.652331743,
Benin,BEN,"Population ages 70-74, female (% of female population)",SP.POP.7074.FE.5Y,1.540119501,1.52312173,1.50303808,1.483965853,1.47017418,1.463110027,1.487500841,1.511004067,1.530585175,1.54151703,1.543216818,1.53573496,1.521175125,1.504520065,1.490932537,1.482351188,1.467542492,1.454921895,1.443595317,1.43217612,1.420464449,1.394720061,1.368786098,1.345080775,1.325887301,1.312147965,1.291962221,1.275437978,1.26163552,1.249114669,1.237010993,1.210654579,1.186301867,1.164846612,1.147129006,1.133421948,1.108096431,1.086113436,1.068641064,1.056882799,1.051222364,1.038073188,1.0295364,1.025349083,1.024990992,1.028131124,1.024921186,1.023055959,1.024880098,1.033445164,1.049645605,1.060572505,1.07712304,1.094952383,1.108418933,1.115358012,1.105346544,1.092539674,1.079843637,
Burkina Faso,BFA,"Population ages 70-74, female (% of female population)",SP.POP.7074.FE.5Y,0.641250012,0.662433026,0.683231589,0.703351628,0.722086285,0.739941703,0.759933222,0.77694244,0.793349644,0.811720173,0.833353393,0.857367904,0.881472387,0.905325238,0.927787744,0.948806738,0.967905305,0.983924928,0.999402852,1.016548575,1.036221307,1.053459455,1.071730872,1.090780934,1.109367813,1.127026056,1.127604002,1.127259917,1.127691763,1.129555721,1.132810532,1.119417988,1.106103633,1.094419457,1.084762785,1.076985157,1.055746653,1.035602968,1.018057337,1.003499698,0.992010381,0.970082775,0.949754627,0.933100428,0.921648944,0.915641509,0.903243043,0.893337994,0.886916645,0.884586058,0.886370315,0.881468351,0.879714583,0.880124801,0.880786581,0.880932405,0.871086565,0.861019221,0.853607708,
Bangladesh,BGD,"Population ages 70-74, female (% of female population)",SP.POP.7074.FE.5Y,0.715323655,0.715388674,0.718673352,0.724125699,0.73027798,0.736651094,0.746374985,0.753890979,0.760593158,0.767692691,0.77607463,0.791548985,0.807405663,0.824083314,0.840150928,0.854736793,0.854395429,0.849175354,0.842949204,0.839399694,0.839692389,0.843559124,0.848314064,0.853314355,0.856987029,0.858667127,0.863212966,0.867031273,0.872716115,0.882300354,0.896281991,0.911645822,0.929313721,0.94943142,0.971174649,0.994059503,1.019931751,1.044846402,1.069251648,1.093452948,1.118116302,1.134810978,1.149139788,1.162310104,1.176425991,1.19310476,1.213082678,1.231747911,1.249649908,1.269095931,1.291451688,1.323412026,1.358136109,1.390958469,1.416714156,1.433193755,1.442927475,1.450460414,1.451402589,
Bulgaria,BGR,"Population ages 70-74, female (% of female population)",SP.POP.7074.FE.5Y,2.551877109,2.506655683,2.443804672,2.39115066,2.379334553,2.419948987,2.468018079,2.553232489,2.664288253,2.786021101,2.910131687,2.987651656,3.073662488,3.175769956,3.295178817,3.425163451,3.504962356,3.576445601,3.642115509,3.710726296,3.78975629,3.84317422,3.932345367,4.015397352,4.027312807,3.937164323,3.72024779,3.397140431,3.082177085,2.935610851,3.037813887,3.318961887,3.807739504,4.387310378,4.893696546,5.240063086,5.384109813,5.408083951,5.374420515,5.363326864,5.410492762,5.43549899,5.504638069,5.595963162,5.668643587,5.695875035,5.613098899,5.495619992,5.371219834,5.281963696,5.253139685,5.210920539,5.213326556,5.269323816,5.398400372,5.609900206,5.844114141,6.158538439,6.500638115,
Bahrain,BHR,"Population ages 70-74, female (% of female population)",SP.POP.7074.FE.5Y,1.040189752,0.97576695,0.886013819,0.77340854,0.648427142,0.515925368,0.537677646,0.57959339,0.633152381,0.697040745,0.770852954,0.751328206,0.735068619,0.725689405,0.724199826,0.729982899,0.726284184,0.728799951,0.734128149,0.72884462,0.711529588,0.744990086,0.753449192,0.741733691,0.726889741,0.712799225,0.657788496,0.641423115,0.65747282,0.686778172,0.70604837,0.695731331,0.696224894,0.724602463,0.776245092,0.820348323,0.78032603,0.769469951,0.812024813,0.888606908,0.952061683,0.905172268,0.828273291,0.749306486,0.699529192,0.689826121,0.703057743,0.743506502,0.795333041,0.840007421,0.86951306,0.877174788,0.87404234,0.862089505,0.843957448,0.822895579,0.799844114,0.780005305,0.769373703,
"Bahamas, The",BHS,"Population ages 70-74, female (% of female population)",SP.POP.7074.FE.5Y,1.263430511,1.20929299,1.149682241,1.103725837,1.080001749,1.086516305,1.086504541,1.097609793,1.110391067,1.117891081,1.124344815,1.151806242,1.162042175,1.163433702,1.164999098,1.176262768,1.198080626,1.227545808,1.259589162,1.290477794,1.319487673,1.357115161,1.39221192,1.422127276,1.438196424,1.443768354,1.420966523,1.395428543,1.371049908,1.3531629,1.340893774,1.334255782,1.331722739,1.334659461,1.350216422,1.383460556,1.419198056,1.468073171,1.524622553,1.580772911,1.63145156,1.643183427,1.654397814,1.671056555,1.694822224,1.72257968,1.730727457,1.740376976,1.756209435,1.781293367,1.815458457,1.861725091,1.915367246,1.972438738,2.024998035,2.067064053,2.089526141,2.103735391,2.121393958,
