Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,"Population ages 0-14, female (% of female population)",SP.POP.0014.FE.ZS,43.05771666,42.5173439,42.00279135,41.4645958,40.82565654,40.06355498,39.39424807,38.54514768,37.5918655,36.66644439,35.82267577,34.56680482,33.49978785,32.48502509,31.39325264,30.12071401,29.47831957,28.53915906,27.38948529,26.2252431,25.22885152,24.56191212,24.0724845,23.79221756,23.5925765,23.30815429,23.63052159,23.69354532,23.47266881,23.16254759,23.00193694,22.65553313,22.52573583,22.61930763,22.76477261,22.80878451,22.91489362,22.86421791,22.66136419,22.38649745,22.09106957,21.84501233,21.54688321,21.19670256,20.8040065,20.39691921,20.0548256,19.84515692,19.72735318,19.64904353,19.55827068,19.25583311,18.83974299,18.35152636,17.88156154,17.49114026,17.06816365,16.80161943,16.63968922,
Afghanistan,AFG,"Population ages 0-14, female (% of female population)",SP.POP.0014.FE.ZS,43.45325038,43.66057422,43.66577354,43.56453711,43.48118233,43.46884389,43.70562437,43.94078271,44.16798043,44.35703765,44.49511835,44.79555333,45.01331272,45.16511178,45.25954082,45.28613426,45.53182022,45.74628788,45.9184491,46.01319671,45.9844034,46.24357461,46.47405589,46.68715121,46.92892677,47.2689891,47.43400659,47.48562443,47.51222008,47.64839038,48.03487124,47.97735738,47.92850004,47.9244919,47.89935404,47.75274474,48.02883997,48.3192356,48.57011537,48.77934535,48.97539247,48.97882954,48.85581897,48.65782035,48.41733607,48.13759456,48.19767288,48.2781768,48.33538275,48.31901895,48.20355859,47.77994905,47.20454784,46.52594278,45.80216573,45.06469222,44.42952369,43.82367254,43.22341557,
Angola,AGO,"Population ages 0-14, female (% of female population)",SP.POP.0014.FE.ZS,41.59402325,42.44213433,43.35879481,44.16694375,44.68918069,44.88145419,44.8288247,44.61061413,44.48693347,44.68647333,45.25466762,45.51040131,45.86963315,46.23974696,46.47774437,46.53114836,46.9060101,46.95361411,46.83863339,46.77451249,46.84859099,47.01309246,47.30923562,47.6417274,47.86958049,47.93670885,48.12455633,48.1589963,48.09019218,47.98968065,47.88762438,47.94971207,47.96130518,47.93052361,47.85541374,47.73530518,47.71613703,47.64256025,47.52413696,47.37143241,47.19520444,47.14628784,47.05728066,46.94469064,46.82988343,46.7294403,46.75688641,46.76872947,46.77182928,46.76122952,46.72891521,46.79678872,46.80683323,46.77185991,46.70171024,46.59687524,46.49300188,46.35592619,46.18190213,
Albania,ALB,"Population ages 0-14, female (% of female population)",SP.POP.0014.FE.ZS,40.35465284,40.79097686,41.20093823,41.55637508,41.80483054,41.91516224,42.02336192,41.96480664,41.77564822,41.5105262,41.20031937,40.79687926,40.40495976,39.98960955,39.50145603,38.92745178,38.40670066,37.78585944,37.12014721,36.48564094,35.92069612,35.39198854,34.92928488,34.51875311,34.1392103,33.78810068,33.48138277,33.22384451,32.9914277,32.73067647,32.38880992,32.31656235,32.14605422,31.88282146,31.57646118,31.26925948,30.95428361,30.67828992,30.41163348,30.09367984,29.68642851,28.95778035,28.15323795,27.2915079,26.41156914,25.53206045,24.5372302,23.64578505,22.82589485,22.05855081,21.34192231,20.4708309,19.67788982,18.98382943,18.38567573,17.87137755,17.60242224,17.27437312,16.95764654,
Andorra,AND,"Population ages 0-14, female (% of female population)",SP.POP.0014.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Population ages 0-14, female (% of female population)",SP.POP.0014.FE.ZS,42.65679226,43.01614507,43.34688669,43.63157486,43.83702234,43.94996112,44.16863507,44.26810231,44.28491506,44.25841757,44.20444647,44.28364815,44.29957414,44.27015346,44.21548607,44.15173024,44.16618612,44.15561413,44.12221374,44.06087996,43.96802097,43.91360593,43.82103328,43.6978383,43.55194966,43.38652356,43.33348683,43.23867969,43.10843806,42.94010276,42.77362569,42.50544169,42.22248007,41.85506963,41.43695889,40.94433642,40.4688151,39.97085227,39.45771596,38.93522468,38.40436482,37.90787051,37.39940282,36.89220211,36.40533786,35.95314579,35.51989424,35.12805667,34.78133551,34.47996342,34.22259606,33.98967462,33.80500486,33.65843777,33.52811997,33.39685949,33.39138919,33.32862607,33.23246677,
United Arab Emirates,ARE,"Population ages 0-14, female (% of female population)",SP.POP.0014.FE.ZS,44.65752237,44.66716007,44.58984073,44.40338387,44.11925136,43.79097633,43.5293574,43.41201559,43.54340568,43.98700311,44.73405061,44.5015087,44.12047015,43.83820863,43.83904281,44.21109766,43.81310961,43.75099936,44.0725621,44.61607495,45.19337622,44.90466626,44.75162994,44.72820032,44.76277425,44.76655108,44.96084166,45.00076035,44.87442436,44.5640024,44.07149783,43.28750947,42.41817101,41.48159205,40.51110397,39.56424336,39.23676998,38.90412471,38.71058765,38.64620346,38.57249059,36.34061822,34.30662308,32.53093141,31.05308678,29.90926039,28.5521743,27.46628488,26.67359519,26.06764657,25.51243436,25.0648599,24.57411265,24.12381408,23.75419277,23.44278461,23.59740445,23.64471851,23.63295171,
Argentina,ARG,"Population ages 0-14, female (% of female population)",SP.POP.0014.FE.ZS,30.89632769,30.75637847,30.56293258,30.33222321,30.08955434,29.84908083,29.65740151,29.46231555,29.27253299,29.09792284,28.94709389,28.89535197,28.85965649,28.83830208,28.83358806,28.8510505,28.95342337,29.10038981,29.27122865,29.42878516,29.54894886,29.79773855,29.90982098,29.94008584,29.9610003,30.00067326,29.91998283,29.92184345,29.93623608,29.86792516,29.68236282,29.54855506,29.30035983,28.9844107,28.67410351,28.40212821,28.15991039,27.92703408,27.70438157,27.48111753,27.25098889,26.98839114,26.76443458,26.55620983,26.33475669,26.08794283,25.88335586,25.63350327,25.36345008,25.11314246,24.90250988,24.70232335,24.54418262,24.41373597,24.28310609,24.1372625,24.01680771,23.87535349,23.72066458,
Armenia,ARM,"Population ages 0-14, female (% of female population)",SP.POP.0014.FE.ZS,36.84402925,37.89198069,38.65867204,39.18080794,39.5171802,39.67759945,39.58480687,39.27878735,38.78251686,38.14745212,37.42390222,36.40288139,35.45842628,34.5536616,33.62172585,32.64234357,31.83601726,30.95213974,30.09560901,29.39696855,28.90086517,28.58219651,28.47265709,28.50404069,28.56387751,28.59410906,28.61924349,28.6404773,28.68199422,28.73108588,28.72051036,28.66876423,28.51783781,28.25903858,27.90293852,27.46969737,26.83130829,26.09219136,25.26720421,24.38533822,23.48071472,22.50988915,21.62022418,20.79510283,20.00694445,19.25012916,18.70855215,18.15209386,17.63776398,17.25158706,17.03875273,16.98391267,17.04303502,17.20874661,17.42884281,17.65781247,17.84811974,18.05175875,18.24032509,
American Samoa,ASM,"Population ages 0-14, female (% of female population)",SP.POP.0014.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
