Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,"Population ages 0-14, male (% of male population)",SP.POP.0014.MA.ZS,44.67316449,44.24251343,43.88191775,43.55163728,43.132763,42.56523442,42.05514849,41.33150357,40.50318427,39.66321063,38.86734976,37.67561983,36.61074974,35.5728936,34.41604725,33.11303169,32.3562341,31.35446097,30.14793809,28.92926804,27.86180055,27.16739506,26.62450646,26.27826374,26.04234741,25.8153766,26.15646147,26.32831086,26.29454157,26.17597124,26.14566685,25.55670394,25.11035402,24.78322692,24.44549938,24.0483643,24.23309134,24.33550053,24.36678347,24.37023476,24.34830205,24.08216294,23.7897375,23.45713669,23.06498256,22.6636398,22.52007927,22.44287495,22.41311421,22.38105089,22.31713608,21.93101464,21.4732965,20.9569378,20.45859666,20.04153477,19.572068,19.27927568,19.09083672,
Afghanistan,AFG,"Population ages 0-14, male (% of male population)",SP.POP.0014.MA.ZS,40.91371401,41.31997252,41.66746608,41.97769323,42.26115251,42.51894064,42.9643682,43.33755771,43.65360814,43.92550428,44.16188171,44.55196959,44.86384114,45.11191662,45.2990949,45.41279899,45.7155996,45.98323792,46.20548071,46.34877418,46.36880397,46.67875851,46.95822741,47.2181995,47.50138289,47.87058661,48.02964672,48.0714432,48.07957358,48.19370221,48.56964573,48.44525676,48.32159957,48.2417356,48.13295405,47.87995946,48.1113082,48.3529911,48.54042586,48.67831008,48.81593241,48.67538893,48.44722252,48.18456288,47.90701399,47.59901369,47.79412585,47.98278495,48.12457713,48.18517257,48.15391333,47.62694172,46.98061507,46.25450291,45.48749991,44.69956349,44.12317396,43.54888233,42.96393194,
Angola,AGO,"Population ages 0-14, male (% of male population)",SP.POP.0014.MA.ZS,42.65585029,43.13004505,43.63030708,44.01455665,44.15422937,44.05587643,44.26404009,44.24908128,44.29622312,44.66097089,45.36570357,45.29626172,45.5307418,45.84760291,45.97730505,45.83714152,46.09472592,45.94394262,45.60674086,45.38106676,45.3891402,45.54588485,45.90256277,46.34218445,46.68498185,46.85522363,47.13934355,47.2672582,47.28540325,47.26564268,47.23888352,47.38439477,47.4704223,47.50631206,47.49290229,47.4314439,47.48373659,47.4773184,47.42113559,47.32624343,47.20447616,47.22206592,47.197818,47.1472264,47.08994987,47.04106139,47.14008659,47.21622044,47.27771968,47.3266972,47.36130236,47.50014698,47.59400855,47.648646,47.66311945,47.63226581,47.625725,47.5628468,47.44935508,
Albania,ALB,"Population ages 0-14, male (% of male population)",SP.POP.0014.MA.ZS,39.96730317,40.30636619,40.61730911,40.88818031,41.08158892,41.17161606,41.2830918,41.25640756,41.11721507,40.90446038,40.63973268,40.30471428,39.972822,39.61278608,39.18202547,38.67159763,38.21954934,37.67434162,37.08725397,36.53068335,36.03915811,35.60245162,35.22372111,34.88943405,34.58027813,34.29298356,34.05283252,33.85047811,33.66542224,33.44736523,33.1422184,33.45283156,33.71940084,33.91953841,34.084802,34.25959859,33.50634598,32.83045893,32.21499123,31.60891184,30.96571784,30.36330097,29.69810529,28.97530608,28.22248054,27.45907634,26.59448984,25.77503801,24.99093722,24.24727092,23.55171615,22.45268964,21.50194239,20.70484223,20.0285987,19.43755029,19.1374236,18.75539267,18.36266733,
Andorra,AND,"Population ages 0-14, male (% of male population)",SP.POP.0014.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Population ages 0-14, male (% of male population)",SP.POP.0014.MA.ZS,43.88672489,44.25740308,44.57218696,44.82576879,45.00655572,45.1109154,45.31996636,45.41893306,45.43962109,45.41452936,45.35676209,45.40028396,45.379327,45.31063796,45.21396344,45.10615967,45.00075681,44.8806986,44.74883434,44.59951559,44.42763468,44.32427813,44.19208948,44.03558579,43.86099592,43.67087751,43.55737068,43.399629,43.21373008,43.00214594,42.80889795,42.5199231,42.31048909,41.92313701,41.48379336,40.89967599,40.46257282,39.99832142,39.51968326,39.03501859,38.54264833,37.97842134,37.40874484,36.83982834,36.27924496,35.73421065,35.18512071,34.65989363,34.18326249,33.7776906,33.45167629,33.18643102,32.99040119,32.84802935,32.72686881,32.60064934,32.57064386,32.47996247,32.35941116,
United Arab Emirates,ARE,"Population ages 0-14, male (% of male population)",SP.POP.0014.MA.ZS,44.46701824,42.25349412,40.00430635,37.92240479,36.08959097,34.49032742,33.00194624,31.74515834,30.68900126,29.78589521,29.06841486,26.18890814,23.92737628,22.36860285,21.46238298,21.07593041,20.34025643,19.91147358,19.92154527,20.23034927,20.6338058,21.45916991,22.32092724,23.25229899,24.21457466,25.13415909,25.33204684,25.25012471,25.00467614,24.65624238,24.22524868,23.54010242,22.89696558,22.29218959,21.70512903,21.14373303,20.83438848,20.46630497,20.22822755,20.12317086,20.0249866,18.13351177,16.48481661,15.17119382,14.18774219,13.47438101,11.83731123,10.62951202,9.856675882,9.369985903,8.99498215,9.304879656,9.507031921,9.703423503,9.958452629,10.26212211,10.46207352,10.56318553,10.66305289,
Argentina,ARG,"Population ages 0-14, male (% of male population)",SP.POP.0014.MA.ZS,31.20122335,31.14685957,31.03913662,30.89131648,30.72492846,30.55281898,30.42740844,30.29424171,30.16108795,30.03755992,29.93245262,29.86921836,29.8404879,29.84851163,29.89854546,29.99435431,30.22409088,30.50567261,30.80811825,31.08551822,31.31236941,31.59663649,31.74266686,31.8107056,31.88147787,31.98525137,31.93604247,31.99314722,32.07534881,32.07395246,31.94864593,31.87052497,31.66681597,31.38614252,31.10631929,30.86145365,30.62132864,30.39297569,30.17725884,29.96375124,29.74658733,29.48002491,29.25009346,29.03391427,28.80186428,28.54136542,28.31600228,28.04287362,27.7464222,27.46863705,27.23196044,27.00333136,26.819282,26.66465785,26.51043183,26.34120486,26.19703409,26.03193186,25.8538764,
Armenia,ARM,"Population ages 0-14, male (% of male population)",SP.POP.0014.MA.ZS,40.60205913,41.81205232,42.80216121,43.54483428,44.01938391,44.20850517,44.11541752,43.7037746,43.03631215,42.22434218,41.34575274,40.13804309,39.0754727,38.08836963,37.06964229,35.98222471,35.07829644,34.07459885,33.08964604,32.28267892,31.71318996,31.35289277,31.2068486,31.20134383,31.22927462,31.2379365,31.29610823,31.36802515,31.44181315,31.48737004,31.45091124,31.48138739,31.46340756,31.40093975,31.32081607,31.24361062,30.82055671,30.34603366,29.79878189,29.16090549,28.44529884,27.40467307,26.42349772,25.51446393,24.68997992,23.95293429,23.43261767,22.95864067,22.56312193,22.30375135,22.21486076,22.22665383,22.30223015,22.4427427,22.62117114,22.81025759,22.97746438,23.16015597,23.32831629,
American Samoa,ASM,"Population ages 0-14, male (% of male population)",SP.POP.0014.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
