Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,"Population ages 45-49, male (% of male population)",SP.POP.4549.MA.5Y,4.579836676,4.466190862,4.370058751,4.307304786,4.248845617,4.193513937,4.14144632,4.102888912,4.083560781,4.070697933,4.067432844,4.039256198,4.026018487,4.044155225,4.123816312,4.260294865,4.393553859,4.592027777,4.841299669,5.095301646,5.291727834,5.305417217,5.226527471,5.089948836,4.96993857,4.91829959,5.027951224,5.171160455,5.308287735,5.409634142,5.486154147,5.668827711,5.892460376,6.130983913,6.387636153,6.658925687,6.824570409,7.001147337,7.163519202,7.318486246,7.47371542,7.667495464,7.88154597,8.106240553,8.343965297,8.584520957,8.797329717,8.982135438,9.122748845,9.164253206,9.076653255,8.902729814,8.620830776,8.276493943,7.944417436,7.673851241,7.458702154,7.297183859,7.161054056,
Afghanistan,AFG,"Population ages 45-49, male (% of male population)",SP.POP.4549.MA.5Y,3.939587571,3.915205327,3.895516035,3.879943673,3.868569299,3.860804562,3.837299779,3.818411419,3.804703247,3.797018473,3.794384577,3.779328222,3.772137323,3.767082077,3.757071913,3.739338995,3.685532054,3.619775565,3.549072959,3.48454215,3.434584908,3.339573322,3.251016024,3.171347428,3.099338829,3.032113684,3.033053242,3.052048645,3.079760155,3.101590676,3.104726416,3.150048383,3.170072156,3.168103356,3.156708361,3.148746352,3.123383846,3.103441078,3.091669193,3.085084044,3.078289478,3.061220819,3.047481272,3.034622241,3.023607683,3.017624892,3.012023873,3.013895575,3.024281715,3.041497024,3.062155006,3.074180358,3.090415872,3.109776216,3.1327392,3.160922497,3.192578169,3.229221984,3.27310843,
Angola,AGO,"Population ages 45-49, male (% of male population)",SP.POP.4549.MA.5Y,4.481258888,4.526367452,4.514607604,4.474844465,4.442596512,4.431117889,4.244259501,4.064416682,3.865136002,3.646922549,3.444287219,3.492541719,3.545778389,3.59969437,3.649352454,3.68948194,3.677139353,3.673349904,3.668818454,3.650941966,3.615816856,3.563896029,3.499229013,3.429837542,3.366612156,3.314214018,3.249989209,3.194545727,3.151742182,3.126081498,3.118812373,3.112022403,3.126564483,3.147461513,3.155328363,3.141901255,3.100019701,3.043947655,2.99042726,2.961167544,2.965719638,2.98271905,3.021208288,3.075625703,3.139399449,3.206441848,3.264822261,3.334978376,3.39407327,3.412738248,3.379891226,3.292507681,3.165991491,3.034810629,2.94452924,2.916306897,2.928898096,2.99107369,3.07730382,
Albania,ALB,"Population ages 45-49, male (% of male population)",SP.POP.4549.MA.5Y,4.095902789,4.055457472,4.01936173,3.979564224,3.924480899,3.851771712,3.757123486,3.646174161,3.549827709,3.511094179,3.550279256,3.658374869,3.834205575,4.038256904,4.215071985,4.333896387,4.391729811,4.401468368,4.388213703,4.389743058,4.426162139,4.48734511,4.576880232,4.673989762,4.748263551,4.78273798,4.780480876,4.749676279,4.700260606,4.648666472,4.607141732,4.588408213,4.560689812,4.531876509,4.512537861,4.506992473,4.693131581,4.938394471,5.229139352,5.553111131,5.902282656,6.114509216,6.332283807,6.543263733,6.729366239,6.877559239,6.973843861,7.03671452,7.056376121,7.022930572,6.93193847,6.818942952,6.663903607,6.491814188,6.33600413,6.209020181,6.021292743,5.870488872,5.742738917,
Andorra,AND,"Population ages 45-49, male (% of male population)",SP.POP.4549.MA.5Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Population ages 45-49, male (% of male population)",SP.POP.4549.MA.5Y,3.824972941,3.785850588,3.756435942,3.736475729,3.724767762,3.71906948,3.701558441,3.692374309,3.689489861,3.691677845,3.697867935,3.700922151,3.712402466,3.7287574,3.745512102,3.758426487,3.741354913,3.723337222,3.702183728,3.676591456,3.647083788,3.591753549,3.536570703,3.479762058,3.421544966,3.365665673,3.298048854,3.234403342,3.183688219,3.156639547,3.155858883,3.187716952,3.22433637,3.299732035,3.393659517,3.519185394,3.61908561,3.735112101,3.857026818,3.969994555,4.065808497,4.134471891,4.187633954,4.234501689,4.287056106,4.352130692,4.407637212,4.478347732,4.55917933,4.64162146,4.720163276,4.772082338,4.810258466,4.842303385,4.881094218,4.935493662,4.989124402,5.055057573,5.128579948,
United Arab Emirates,ARE,"Population ages 45-49, male (% of male population)",SP.POP.4549.MA.5Y,3.685052304,3.37429782,3.203259573,3.123257111,3.117796002,3.191211091,3.236021251,3.322099182,3.433267112,3.573988817,3.755925366,3.799857215,3.788984918,3.689015852,3.603085249,3.641517662,3.528153236,3.47057639,3.408441116,3.386039419,3.491855299,3.805213844,4.083745557,4.252220605,4.317643494,4.370815273,4.633606428,4.993040358,5.420068281,5.863064741,6.28596702,6.195925356,6.082888689,5.992375846,5.989944829,6.116958751,6.107421704,6.091054059,6.037465949,5.989502654,6.040805145,5.990559864,5.968028104,5.939433576,5.919438995,5.968170295,5.840228735,5.94177337,6.194880999,6.541484535,6.954930655,7.213553589,7.301519443,7.260342722,7.179879844,7.130001684,7.447726571,7.772775363,8.013389105,
Argentina,ARG,"Population ages 45-49, male (% of male population)",SP.POP.4549.MA.5Y,5.706407636,5.660713191,5.614037922,5.575203382,5.556667155,5.564431921,5.579041214,5.617118354,5.668259352,5.717863254,5.756715301,5.775001181,5.785560152,5.785839838,5.772741295,5.74449776,5.701262394,5.645967911,5.58357349,5.518771778,5.451803128,5.351292408,5.259957976,5.180372003,5.116949759,5.073384318,5.052331759,5.043515911,5.050280017,5.07702796,5.123647673,5.171933161,5.238710854,5.311937366,5.375428736,5.421100143,5.450872025,5.469187555,5.477169351,5.478090609,5.474099211,5.459620104,5.437972977,5.414640622,5.397452258,5.390412896,5.382814683,5.390166851,5.404862534,5.415479097,5.41645051,5.402711885,5.382967177,5.366111146,5.366182084,5.391318848,5.430155498,5.488487031,5.567881874,
Armenia,ARM,"Population ages 45-49, male (% of male population)",SP.POP.4549.MA.5Y,3.437648463,3.087141747,2.692659649,2.32083784,2.05759418,1.947740548,1.962596641,2.082365617,2.318323902,2.685216864,3.176946463,3.788702384,4.515945977,5.237440773,5.792706816,6.100644597,6.191135636,6.032811668,5.747493463,5.519994772,5.452661263,5.549020094,5.81280554,6.098619969,6.194885609,5.996758708,5.549933573,4.854932532,4.076094441,3.454860818,3.128214638,3.026461153,3.175780032,3.508613759,3.897147963,4.256063265,4.607875258,4.944858299,5.279007341,5.634883327,6.016642145,6.419025791,6.825195301,7.209087365,7.517805291,7.710415374,7.770159457,7.720975781,7.568687679,7.336955919,7.053732645,6.704308119,6.317460435,5.929701403,5.595511368,5.349831641,5.187275437,5.117795926,5.123361659,
American Samoa,ASM,"Population ages 45-49, male (% of male population)",SP.POP.4549.MA.5Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Population ages 45-49, male (% of male population)",SP.POP.4549.MA.5Y,4.838900969,4.711228493,4.59805232,4.523952545,4.495210022,4.471471363,4.356107368,4.236500671,4.15601883,4.122112211,4.092021537,3.988817009,3.918244939,3.920409771,4.014960943,4.155420041,4.063462311,3.998926463,3.994087809,4.061050225,4.171151776,4.091658535,4.038603807,4.022582922,4.058817605,4.138162307,4.083888908,4.029720865,3.998663772,4.002792646,4.037738339,4.167346007,4.306189344,4.44879775,4.585959574,4.718333486,4.855241863,5.001030837,5.147952979,5.309003957,5.471856623,5.621693122,5.76870896,5.913159653,6.059091268,6.189490034,6.333621611,6.487242922,6.641133289,6.79712383,6.944774206,7.015410518,7.089664077,7.151145594,7.186193879,7.184418584,7.118063184,7.023876832,6.910963183,
