Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,"Population ages 50-54, female (% of female population)",SP.POP.5054.FE.5Y,4.056450154,4.081127,4.05094208,3.977999931,3.91172831,3.861135789,3.813113307,3.773839662,3.751803752,3.720992265,3.677688689,3.634629301,3.567348804,3.496843128,3.434844193,3.393476307,3.394297837,3.397979928,3.418415334,3.486292237,3.619424787,3.862260018,4.193292004,4.542891159,4.841412699,5.046127175,5.16284003,5.247988852,5.334405145,5.420403949,5.486933604,5.386309415,5.321154125,5.310145244,5.390842529,5.534538666,5.527186761,5.569312606,5.681538908,5.848488813,6.050745443,6.240543845,6.431543651,6.636295507,6.864413334,7.112898921,7.446828623,7.734619297,7.959102977,8.135637897,8.29887218,8.510917194,8.753142751,8.982423682,9.116306426,9.119140696,9.007339583,8.760482938,8.429552894,
Afghanistan,AFG,"Population ages 50-54, female (% of female population)",SP.POP.5054.FE.5Y,3.087826868,3.058554374,3.040398713,3.029634375,3.02195896,3.015384971,2.992375398,2.974622369,2.96091997,2.950954042,2.943872418,2.921618252,2.904982741,2.893018457,2.885388632,2.882254391,2.861511539,2.840647008,2.819299894,2.799258244,2.783353864,2.734580483,2.680018246,2.619910009,2.553342844,2.478843511,2.448267181,2.431299902,2.421313288,2.407469703,2.381052835,2.413180837,2.434567484,2.455543432,2.492628859,2.552329739,2.595621181,2.659198053,2.724991412,2.765503526,2.766170267,2.718929631,2.648086428,2.569238714,2.503844574,2.462707186,2.44061243,2.43462559,2.439815017,2.449094638,2.45873701,2.457874922,2.462645356,2.472467302,2.487105564,2.506331364,2.530135728,2.557349681,2.587544283,
Angola,AGO,"Population ages 50-54, female (% of female population)",SP.POP.5054.FE.5Y,3.278614818,3.306856502,3.341402484,3.38314447,3.430696181,3.479931503,3.367843027,3.281089584,3.226028713,3.167055073,3.055345144,3.010517576,2.904282,2.786113156,2.720201013,2.733096334,2.776684534,2.886344169,3.022993631,3.135117788,3.197615858,3.214610067,3.192285759,3.151332536,3.120276355,3.110526445,3.09587862,3.101151335,3.105641664,3.081901277,3.018977143,2.910082927,2.775036184,2.636400922,2.524419545,2.452919494,2.4064353,2.397294339,2.403857815,2.39764632,2.365863645,2.304584891,2.226516789,2.153408677,2.114229575,2.121269731,2.155226833,2.224021943,2.310781304,2.394301267,2.462901151,2.508648654,2.549570585,2.58031012,2.59432814,2.5901971,2.56346559,2.519895536,2.477029004,
Albania,ALB,"Population ages 50-54, female (% of female population)",SP.POP.5054.FE.5Y,3.744256513,3.727011312,3.667060159,3.583212702,3.503696704,3.443903561,3.391310499,3.355110096,3.331172103,3.313942497,3.299945975,3.292070796,3.286536118,3.285913896,3.294125436,3.312632045,3.332160879,3.365010063,3.402621591,3.433768769,3.453017407,3.462063094,3.457984996,3.454206503,3.470148621,3.514783915,3.583295865,3.676941232,3.777666983,3.860918539,3.915205577,3.973567057,4.009738273,4.030869857,4.047720735,4.067196947,4.038110471,4.024168179,4.039125432,4.096428295,4.199089109,4.377453397,4.590515971,4.830427638,5.08349844,5.339401304,5.637932166,5.932852129,6.220862198,6.495628385,6.745497659,6.959674384,7.150734783,7.298349961,7.389770624,7.424591352,7.34172906,7.214150339,7.058462526,
Andorra,AND,"Population ages 50-54, female (% of female population)",SP.POP.5054.FE.5Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Population ages 50-54, female (% of female population)",SP.POP.5054.FE.5Y,3.484051858,3.438076758,3.385579292,3.33312605,3.289314581,3.257768657,3.221998822,3.200164627,3.189440553,3.185731485,3.186074304,3.175765848,3.172853627,3.177434107,3.189054636,3.205653639,3.207578625,3.213913596,3.221593582,3.227092609,3.228317296,3.204518242,3.178832934,3.15147106,3.121251869,3.08694183,3.043529828,2.999543128,2.955536924,2.912370951,2.867711572,2.830544444,2.800157051,2.773164162,2.758268196,2.756602746,2.764586559,2.785149611,2.820155517,2.87146776,2.938430998,3.012197264,3.10039059,3.194149309,3.280223043,3.350427734,3.406733881,3.449687518,3.486004367,3.525652036,3.573836561,3.628025667,3.688842206,3.753642533,3.819601295,3.885757023,3.938388078,3.993848958,4.049279694,
United Arab Emirates,ARE,"Population ages 50-54, female (% of female population)",SP.POP.5054.FE.5Y,3.14416347,2.909008676,2.723442091,2.595873413,2.507414857,2.440009043,2.370463927,2.322229576,2.296883695,2.296375569,2.318533111,2.266151366,2.364308094,2.592446582,2.825385295,2.942316754,2.555890578,2.214800974,1.986704209,1.872060882,1.813455648,1.699705994,1.643707199,1.6625689,1.717590214,1.753714887,1.717863662,1.635504486,1.551797531,1.520799464,1.567169272,1.585735609,1.64601173,1.723684032,1.787921169,1.821177364,1.821443421,1.823530538,1.844771657,1.874512864,1.88360677,1.920895353,1.941162687,1.969198944,2.032961422,2.140760111,2.131090217,2.147302427,2.182978863,2.246713902,2.357253746,2.552098972,2.771793897,3.001944002,3.222916639,3.424126983,3.652633715,3.82951485,3.946473423,
Argentina,ARG,"Population ages 50-54, female (% of female population)",SP.POP.5054.FE.5Y,4.925294778,4.976669712,5.037092848,5.097242523,5.143883945,5.170595465,5.172238617,5.157283128,5.136427919,5.125362887,5.132239361,5.140282319,5.160916053,5.188854898,5.215874338,5.236058314,5.256128279,5.272905386,5.279845074,5.268438732,5.234475035,5.154393456,5.062631406,4.963970646,4.866064908,4.775183063,4.698168486,4.62409698,4.559699087,4.512790221,4.486427551,4.474445645,4.482783987,4.508829356,4.548175528,4.597452415,4.653202063,4.720632319,4.792430852,4.859103661,4.914737092,4.961525166,4.99665901,5.022598129,5.043254707,5.06084376,5.066430952,5.069325718,5.072574421,5.080299735,5.094575416,5.109907408,5.134669732,5.162240839,5.182902598,5.191629042,5.184837281,5.169433408,5.154636862,
Armenia,ARM,"Population ages 50-54, female (% of female population)",SP.POP.5054.FE.5Y,4.316468236,4.272089203,4.273957136,4.267484658,4.175748579,3.967188468,3.663493948,3.270892555,2.86757657,2.563454251,2.420046577,2.446902384,2.608209293,2.886981734,3.250221678,3.660725725,4.082558373,4.565532484,5.033240466,5.374764985,5.529153105,5.513625198,5.311081284,5.034100473,4.848910418,4.837511976,4.964552072,5.26564824,5.600793257,5.76195029,5.643232903,5.321643912,4.727029881,3.995242795,3.365048898,2.994327761,2.872758861,3.014915632,3.34850617,3.745838466,4.127828907,4.568562414,4.977866826,5.348530304,5.709862759,6.091711241,6.467952949,6.884118042,7.306501227,7.660246833,7.88804171,8.018243987,8.030481727,7.936247915,7.76191435,7.529289278,7.241052695,6.891890419,6.520972836,
American Samoa,ASM,"Population ages 50-54, female (% of female population)",SP.POP.5054.FE.5Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Population ages 50-54, female (% of female population)",SP.POP.5054.FE.5Y,4.27575684,4.231321348,4.170037756,4.13437552,4.140847841,4.156179413,4.144355375,4.104651524,4.063081475,4.032718852,4.007275113,3.956181347,3.900529037,3.853222065,3.821133268,3.808707366,3.784216522,3.742968412,3.684650903,3.623998509,3.572651169,3.567196757,3.535984021,3.478858285,3.397193487,3.316127014,3.331766181,3.310821423,3.252364642,3.157103483,3.041683479,3.165524835,3.287243934,3.390178153,3.469166143,3.539083182,3.637598479,3.753244689,3.875287609,3.995448224,4.114450207,4.266445118,4.418009845,4.586257938,4.761679815,4.940231603,5.080528098,5.241752249,5.427311197,5.649131327,5.885171633,6.089874589,6.297571969,6.505603566,6.693716188,6.855777352,6.9813477,7.069317745,7.125523936,
Australia,AUS,"Population ages 50-54, female (% of female population)",SP.POP.5054.FE.5Y,5.179263856,5.258063849,5.362074589,5.464516524,5.528605722,5.537142413,5.468453666,5.352182114,5.227598956,5.144833765,5.128492766,5.175647613,5.260018317,5.354890636,5.422638592,5.443608419,5.428192335,5.388352788,5.322181183,5.229995523,5.116623321,4.998428239,4.855455092,4.711856686,4.597589275,4.527377362,4.486862823,4.493526013,4.535883582,4.5936928,4.65560177,4.72555286,4.793652996,4.878729534,5.007189946,5.188979885,5.414525018,5.702848343,6.021954634,6.31053373,6.524208622,6.628138189,6.647194115,6.612535432,6.574619563,6.564789107,6.542578566,6.545753298,6.569896799,6.602446213,6.632199626,6.660099818,6.680254722,6.676992949,6.639296895,6.571987477,6.503628136,6.405327552,6.297863175,
Austria,AUT,"Population ages 50-54, female (% of female population)",SP.POP.5054.FE.5Y,7.4198477,7.343120684,7.284153044,7.196041467,7.009072134,6.693346354,6.252916353,5.67103611,5.082602734,4.692487495,4.614084614,4.811118274,5.313677865,5.961255566,6.501492785,6.782767103,6.845736783,6.675228119,6.353286323,6.018930769,5.75959902,5.541005122,5.369396215,5.252840924,5.195678133,5.200494744,5.250532282,5.374810148,5.553914859,5.757752276,5.963815398,6.084190999,6.208158279,6.313959762,6.36937648,6.355765423,6.348683289,6.272424608,6.154334619,6.036412765,5.947546662,5.864672557,5.803629593,5.780281639,5.813489607,5.911405539,6.07290826,6.299847982,6.568705262,6.842567625,7.09572025,7.308893386,7.496202789,7.653172904,7.779459882,7.874653133,7.941810321,7.981027728,7.980614408,
Azerbaijan,AZE,"Population ages 50-54, female (% of female population)",SP.POP.5054.FE.5Y,3.914318614,3.808722713,3.770233435,3.753467654,3.69346799,3.560242776,3.35476155,3.101366483,2.849205734,2.670157791,2.605374125,2.65792605,2.790444602,2.984556988,3.216142527,3.465928144,3.719263129,3.99572389,4.255964562,4.448419677,4.55045182,4.598934747,4.571420798,4.52248419,4.528933515,4.619894451,4.762669314,4.972291651,5.151933285,5.176734172,4.995770418,4.601141207,4.063934015,3.478828625,2.984160663,2.659921716,2.478884032,2.438449445,2.513321996,2.661787476,2.856992818,3.128807805,3.452525698,3.81168048,4.186890773,4.564798798,4.922181676,5.272091509,5.615214755,5.952002719,6.276222606,6.577554095,6.867044402,7.113274584,7.274888473,7.331180904,7.271147979,7.123395531,6.919861179,
Burundi,BDI,"Population ages 50-54, female (% of female population)",SP.POP.5054.FE.5Y,3.391371827,3.378750069,3.361974123,3.344424771,3.331272484,3.32369172,3.290320605,3.264389703,3.243826236,3.225736608,3.20973433,3.181200768,3.152044605,3.119275748,3.080477453,3.03401242,2.982425699,2.934265028,2.891054777,2.856063544,2.829882354,2.79787991,2.777781473,2.7625989,2.74518873,2.722495942,2.686070494,2.643726493,2.594811814,2.541304972,2.486027136,2.428447375,2.379857953,2.336027902,2.29193729,2.246679835,2.1762518,2.100193374,2.034632062,2.001210578,2.007673064,2.09320181,2.214102074,2.350896563,2.478732175,2.583715919,2.66208857,2.72477881,2.768636253,2.790384729,2.789444716,2.760484103,2.713682544,2.65623311,2.59827219,2.545455042,2.495245851,2.455985648,2.421644307,
Belgium,BEL,"Population ages 50-54, female (% of female population)",SP.POP.5054.FE.5Y,6.770993933,6.691211997,6.647413175,6.593439908,6.456985652,6.204929022,5.843760525,5.362086686,4.872615602,4.549124337,4.489526386,4.671043942,5.10677116,5.670404633,6.164989944,6.471788725,6.60310448,6.567339147,6.4238716,6.274214098,6.180258701,6.122578649,6.099423233,6.095603296,6.082695997,6.043958103,5.977607471,5.905636027,5.825464629,5.733415247,5.630606525,5.508011659,5.365152393,5.242514668,5.201606262,5.276200201,5.453519754,5.748083318,6.097029155,6.401955484,6.603736908,6.710291629,6.716960458,6.6632903,6.615765885,6.614463998,6.632990992,6.685906244,6.76046999,6.835026082,6.894962864,6.945024016,6.99020791,7.019923938,7.025151991,7.004464136,6.972177821,6.91557377,6.841611674,
Benin,BEN,"Population ages 50-54, female (% of female population)",SP.POP.5054.FE.5Y,4.173130891,4.102183665,4.035624401,3.974102101,3.920760857,3.876950115,3.812597801,3.760788369,3.71631841,3.672507148,3.625511131,3.559315229,3.495725061,3.435150446,3.378526866,3.326333637,3.262769604,3.206398056,3.157868184,3.119191652,3.0907758,3.057078878,3.03625945,3.024825548,3.019102643,3.016648345,3.004736504,2.995825068,2.993164841,3.002333156,3.024326513,3.043023268,3.075392499,3.109422945,3.129808418,3.129440274,3.098848762,3.054871991,3.003675544,2.954118616,2.911008852,2.86306068,2.821975253,2.790140696,2.770680371,2.764662248,2.763200456,2.774056484,2.794129496,2.819257765,2.846696412,2.868683159,2.894518983,2.922459726,2.950832815,2.978478391,2.998567551,3.019678105,3.041192284,
Burkina Faso,BFA,"Population ages 50-54, female (% of female population)",SP.POP.5054.FE.5Y,3.481414883,3.499516993,3.526164274,3.556051974,3.582809344,3.60283127,3.595249225,3.58589395,3.574981965,3.5640068,3.553486548,3.521539602,3.495364724,3.471655171,3.44646649,3.417591471,3.371494373,3.326151924,3.281455006,3.238059013,3.195847179,3.138127909,3.086885844,3.041875474,3.003869048,2.97328617,2.937267306,2.911395718,2.893165095,2.88038076,2.871102156,2.85337771,2.842690548,2.834326223,2.822578714,2.804454971,2.767451943,2.728893109,2.692413213,2.66347126,2.644909519,2.62332684,2.612954093,2.611295598,2.615354046,2.623085054,2.623893752,2.630848962,2.641545897,2.653561863,2.665491551,2.668058028,2.672886687,2.680422963,2.691853836,2.707756534,2.723171833,2.744115506,2.767673493,
Bangladesh,BGD,"Population ages 50-54, female (% of female population)",SP.POP.5054.FE.5Y,3.089000126,3.082447214,3.095944095,3.118373497,3.137508046,3.148049277,3.142202022,3.133138923,3.122575861,3.116669193,3.11986761,3.139607648,3.170741688,3.209434669,3.249567465,3.286552298,3.257417313,3.227324583,3.194609446,3.160278367,3.125451027,3.081696006,3.04187364,3.006700011,2.978702321,2.959076973,2.9619682,2.973835812,2.994656263,3.026368451,3.068739661,3.116838076,3.173677009,3.227354246,3.263363375,3.27440883,3.262578141,3.238937121,3.199366412,3.13891569,3.058830801,2.954465474,2.832757571,2.719940019,2.65510895,2.660092853,2.725043915,2.850848834,3.01937905,3.20681191,3.398152979,3.605824884,3.821447936,4.033369099,4.229082486,4.401481429,4.549495734,4.677991127,4.787212472,
Bulgaria,BGR,"Population ages 50-54, female (% of female population)",SP.POP.5054.FE.5Y,6.021275098,6.090251057,6.167021464,6.206009334,6.140457705,5.943628136,5.624068034,5.165136836,4.700302983,4.428499426,4.458996174,4.766115843,5.352463504,6.066884172,6.682605463,7.069427482,7.262730402,7.260697414,7.132166466,6.993478947,6.9143159,6.867734646,6.866195026,6.881920855,6.863116486,6.779431763,6.65271997,6.47124749,6.264867397,6.080201302,5.94777358,5.854588213,5.808345123,5.818618664,5.896731804,6.046289581,6.256650607,6.552673522,6.886278569,7.179749479,7.380906797,7.492899814,7.49677062,7.423579696,7.331339058,7.258371867,7.185314922,7.12761192,7.078453712,7.022954594,6.952996801,6.867771287,6.792222323,6.725633068,6.666915738,6.616307541,6.577363296,6.541306979,6.522207429,
Bahrain,BHR,"Population ages 50-54, female (% of female population)",SP.POP.5054.FE.5Y,2.716419097,2.558649136,2.417659866,2.295594773,2.169458841,2.047210705,2.113946301,2.234455596,2.423820455,2.651923199,2.86433807,2.870509872,2.840604155,2.803841994,2.783948533,2.784655045,2.761502881,2.705206596,2.617900981,2.539764699,2.513759137,2.576343838,2.638307333,2.648793566,2.586415277,2.470592163,2.424451215,2.433864639,2.502133504,2.598090159,2.677835039,2.580429421,2.485029126,2.43272022,2.451866777,2.546890507,2.589300592,2.570934896,2.476390426,2.345658185,2.253118549,2.395026809,2.600726041,2.853224449,3.123672603,3.388851801,3.592874831,3.854237737,4.163663855,4.471843658,4.73080227,4.819379568,4.870300782,4.933486876,5.035119457,5.157332836,5.176160563,5.147710234,5.074991586,
"Bahamas, The",BHS,"Population ages 50-54, female (% of female population)",SP.POP.5054.FE.5Y,3.660798656,3.669694081,3.69654776,3.73955729,3.776362391,3.781858809,3.695456801,3.600160122,3.516861494,3.450147123,3.397603894,3.342742027,3.284128746,3.242000716,3.229742491,3.24823093,3.20506943,3.186820876,3.189193431,3.197805899,3.201101617,3.26723167,3.308986177,3.341248753,3.386024013,3.452857493,3.517951018,3.610977371,3.712825614,3.792956614,3.83521957,3.86135904,3.851258649,3.833580763,3.846071021,3.906988557,3.934733553,4.017020345,4.144330036,4.29180842,4.445607379,4.541594287,4.637499684,4.749155154,4.880770873,5.025886578,5.112338772,5.210192403,5.330200137,5.480432973,5.669412723,5.91003281,6.157147662,6.387951731,6.568665985,6.681482097,6.738117524,6.713518193,6.651606299,
Bosnia and Herzegovina,BIH,"Population ages 50-54, female (% of female population)",SP.POP.5054.FE.5Y,4.219825506,4.188987615,4.134457904,4.051591915,3.931033936,3.77202528,3.571389303,3.331262732,3.104112704,2.96989446,2.974243727,3.11030046,3.372575615,3.709850167,4.046941608,4.338921784,4.58408297,4.79683425,4.986329422,5.169358683,5.354653752,5.523433244,5.675392242,5.811883773,5.937360438,6.0503665,6.184234272,6.333255599,6.44617794,6.44108942,6.276487706,6.024607052,5.599466753,5.104937127,4.726712802,4.583875463,4.582659663,4.837476822,5.259993989,5.701211452,6.06703621,6.35373425,6.590989286,6.779395394,6.926479933,7.037102187,7.119122509,7.131679371,7.111040382,7.114975449,7.174667712,7.354113662,7.620095603,7.921390125,8.1559858,8.250253573,8.136851738,7.876849775,7.535708093,
Belarus,BLR,"Population ages 50-54, female (% of female population)",SP.POP.5054.FE.5Y,5.857214032,5.919908794,6.081584857,6.247951519,6.273298666,6.083643777,5.712435164,5.136308625,4.505889014,4.045772246,3.883148353,4.0165327,4.430505171,5.026720909,5.642175647,6.164790866,6.569712175,6.904391107,7.152457368,7.298006978,7.331987096,7.24416336,7.02251114,6.738593869,6.510901896,6.407869089,6.411742822,6.563553823,6.753425414,6.810861742,6.645110758,6.286254321,5.725718901,5.092433549,4.590377486,4.342886735,4.331716649,4.555788077,4.939686772,5.349370276,5.697451899,5.989931472,6.235132904,6.451834693,6.678262235,6.933999098,7.183166836,7.443415093,7.688515828,7.882127403,8.002328975,8.041582691,8.022145769,7.946949716,7.822759921,7.656984438,7.548029195,7.32161146,6.971410025,
Belize,BLZ,"Population ages 50-54, female (% of female population)",SP.POP.5054.FE.5Y,3.445982191,3.49240147,3.560836888,3.62076803,3.629830326,3.579831933,3.483290721,3.333568009,3.163366506,3.015067011,2.913821138,2.853957637,2.819786991,2.813303169,2.809423401,2.806928247,2.774202139,2.777859087,2.809728432,2.852334636,2.885786695,2.87891849,2.837191327,2.774397349,2.708037364,2.655051073,2.588204537,2.541216732,2.504814786,2.461386247,2.409068422,2.361531725,2.312936464,2.272495461,2.262258061,2.293591379,2.293084916,2.319111992,2.358581352,2.399575207,2.439858625,2.452965744,2.471570418,2.496843458,2.51837299,2.533017798,2.679107102,2.839021444,3.031253471,3.257652428,3.498886041,3.619769745,3.739561401,3.855313049,3.963960909,4.063808486,4.144665226,4.217976539,4.290253962,
Bermuda,BMU,"Population ages 50-54, female (% of female population)",SP.POP.5054.FE.5Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
