Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,"Population ages 80 and above, female (% of female population)",SP.POP.80UP.FE.5Y,0.390808757,0.399971683,0.418702024,0.404718254,0.391860305,0.386113579,0.404060983,0.425316456,0.439612068,0.460122699,0.46716586,0.529570423,0.594014165,0.683179537,0.785475148,0.908565558,0.97393205,1.05521314,1.144877242,1.213047579,1.288709992,1.320706095,1.367032268,1.391064603,1.418285643,1.489071884,1.584726728,1.694432128,1.797427653,1.919726399,2.013145778,1.994249709,1.945773525,1.889265043,1.83046303,1.766237595,1.789598109,1.818223506,1.885654282,1.942954337,1.984304217,1.937863997,1.864420474,1.78874295,1.717070152,1.652876806,1.707155686,1.76882794,1.849027472,1.950594969,2.069548872,2.160967754,2.247881553,2.333024977,2.405896192,2.475247525,2.608822033,2.745445344,2.85781087,
Afghanistan,AFG,"Population ages 80 and above, female (% of female population)",SP.POP.80UP.FE.5Y,0.172195113,0.188279033,0.199343298,0.20396146,0.200631569,0.188249,0.203818223,0.213883093,0.217237285,0.213050925,0.200415219,0.214916292,0.2242015,0.226999288,0.22280734,0.210943936,0.226364937,0.234551808,0.233702798,0.222829996,0.201089274,0.21920457,0.228717067,0.225499054,0.205784473,0.165608593,0.180960694,0.192635669,0.197459712,0.192741354,0.176871147,0.187854804,0.198378492,0.208827019,0.219666496,0.231210359,0.247298483,0.257574063,0.262249492,0.261746982,0.25612339,0.268389372,0.276228826,0.278539507,0.274823219,0.265429628,0.277918259,0.285338256,0.287628933,0.285038696,0.278039868,0.28864002,0.295081027,0.297143283,0.294972875,0.28886075,0.303802609,0.314761978,0.320982291,
Angola,AGO,"Population ages 80 and above, female (% of female population)",SP.POP.80UP.FE.5Y,0.346644729,0.363651049,0.371865819,0.370420659,0.358090167,0.334042875,0.344676041,0.334468699,0.297802019,0.227080312,0.13066532,0.141369679,0.157523288,0.174001571,0.187692021,0.196862763,0.219977843,0.240076089,0.253264165,0.255377912,0.24577231,0.252380739,0.251020313,0.245882737,0.240311581,0.234356255,0.250172207,0.263234182,0.270116525,0.267755387,0.255952749,0.263616623,0.264568458,0.260921081,0.255037158,0.246838178,0.262448174,0.274866622,0.280718566,0.277158218,0.26371107,0.270670674,0.271136294,0.267291952,0.261402392,0.253416994,0.269104453,0.280939663,0.287355535,0.287388929,0.280927283,0.295512695,0.303945693,0.306904243,0.305633198,0.300571853,0.318212101,0.331210656,0.337248804,
Albania,ALB,"Population ages 80 and above, female (% of female population)",SP.POP.80UP.FE.5Y,1.073417263,1.094449516,1.109081157,1.118425588,1.125020779,1.129130927,1.157748362,1.17808549,1.183624966,1.165800952,1.124396996,1.116684158,1.085632155,1.042877104,1.001321448,0.966400872,0.996781028,1.025027308,1.041480308,1.036317249,1.008266375,1.021720379,1.016651711,1.001257978,0.985997534,0.975222544,1.015822994,1.05171174,1.079112855,1.09570532,1.103090912,1.15583621,1.195727733,1.222764646,1.236859469,1.239128109,1.305072885,1.357923943,1.396390894,1.417714006,1.419643666,1.478436019,1.524253733,1.560742261,1.59339151,1.625842517,1.72702224,1.825177141,1.919178665,2.006178062,2.087000269,2.207450732,2.318109842,2.42789204,2.544143709,2.66907576,2.802146229,2.923833983,3.033953897,
Andorra,AND,"Population ages 80 and above, female (% of female population)",SP.POP.80UP.FE.5Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Population ages 80 and above, female (% of female population)",SP.POP.80UP.FE.5Y,0.374645423,0.396796563,0.410885783,0.416355517,0.413378833,0.402188602,0.423733259,0.437968888,0.444168013,0.442274849,0.43282816,0.455728283,0.471119991,0.478418158,0.477778364,0.469486558,0.493067405,0.508427717,0.514771695,0.512294123,0.501963248,0.52297682,0.535599329,0.539862661,0.53661535,0.526907827,0.549855614,0.565283788,0.571894811,0.569140431,0.555275893,0.575785697,0.590790128,0.595877671,0.594018063,0.584247273,0.607684403,0.623245005,0.631370188,0.633063235,0.629320715,0.657137812,0.677034733,0.688446416,0.691548486,0.687012405,0.715640252,0.735791217,0.747993121,0.753702327,0.754348727,0.785415816,0.808139085,0.82194125,0.82704345,0.824640924,0.854315437,0.87628799,0.889501033,
United Arab Emirates,ARE,"Population ages 80 and above, female (% of female population)",SP.POP.80UP.FE.5Y,0.34670307,0.361827227,0.365316221,0.36229915,0.354549484,0.331040274,0.338857741,0.33678947,0.332498609,0.318475444,0.29957919,0.280039681,0.261694768,0.238902468,0.215861355,0.192058787,0.184349076,0.176343477,0.164987212,0.145744337,0.118534934,0.101592292,0.082622305,0.067473599,0.062584259,0.067096839,0.08302746,0.099773377,0.117149984,0.134502699,0.153146162,0.175473213,0.196784003,0.213187499,0.221859774,0.222055728,0.22344013,0.219733684,0.213243498,0.208393609,0.206503483,0.212033463,0.218348256,0.22126118,0.218216228,0.208136611,0.192322636,0.174783247,0.158442014,0.146639254,0.139645093,0.143644774,0.148788259,0.153138755,0.155007446,0.153899904,0.158653075,0.16204866,0.163864477,
Argentina,ARG,"Population ages 80 and above, female (% of female population)",SP.POP.80UP.FE.5Y,0.744889818,0.778902693,0.805675584,0.826187566,0.842184848,0.855286536,0.90803697,0.953058531,0.988512724,1.013409886,1.028721549,1.083973034,1.126790482,1.158387829,1.181142644,1.197356042,1.262869786,1.316106628,1.35766487,1.389593634,1.414575801,1.487385869,1.549771623,1.600781692,1.639474352,1.667123826,1.74894593,1.811595315,1.858434577,1.894724414,1.924438178,2.015326068,2.095183054,2.162164549,2.213759001,2.251006509,2.335611812,2.402384182,2.454658916,2.496701031,2.532189092,2.625352046,2.701408703,2.763392516,2.815411609,2.861180325,2.959195599,3.042768489,3.110177612,3.15836423,3.188260228,3.258529058,3.305468259,3.333671184,3.347232002,3.350199622,3.398151627,3.428752825,3.447532031,
Armenia,ARM,"Population ages 80 and above, female (% of female population)",SP.POP.80UP.FE.5Y,1.357095636,1.390910449,1.400150863,1.38516641,1.358394583,1.331451858,1.403391437,1.464736679,1.492728898,1.469337546,1.399943848,1.403255038,1.38236419,1.344806017,1.299596053,1.25360431,1.245719632,1.229861791,1.209985468,1.195812356,1.194240235,1.259768782,1.322928625,1.373605172,1.407232251,1.427055492,1.466389953,1.483659395,1.480127419,1.461639258,1.434665386,1.522857762,1.616544213,1.696819944,1.740502468,1.737754195,1.757039607,1.745455247,1.717416142,1.690739572,1.676329929,1.746223651,1.78898692,1.81405924,1.847828412,1.907696126,2.140508965,2.399368171,2.633388054,2.788373336,2.848925807,2.953309092,2.986071609,2.994733263,3.040848739,3.148637683,3.347044915,3.584585877,3.7882699,
American Samoa,ASM,"Population ages 80 and above, female (% of female population)",SP.POP.80UP.FE.5Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
