Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,"Population ages 80 and above, male (% of male population)",SP.POP.80UP.MA.5Y,0.225793098,0.231771025,0.246609125,0.237495502,0.229086874,0.227830978,0.233620049,0.246314086,0.248442858,0.257462946,0.259623373,0.292699725,0.32865457,0.367960206,0.410684587,0.457549568,0.512298558,0.56506791,0.628651474,0.687814393,0.747669933,0.79615137,0.839858128,0.887935303,0.93778591,0.986263915,1.08862663,1.192836373,1.287868677,1.364892307,1.396001174,1.371793667,1.327210784,1.296456353,1.263285597,1.221728595,1.205054875,1.17124008,1.131205757,1.107737944,1.08103177,1.117756423,1.141010421,1.161736126,1.173768819,1.179215538,1.216230312,1.240132946,1.253808053,1.274306992,1.289590426,1.366962671,1.420094127,1.467983304,1.496921082,1.508155735,1.601734208,1.672895889,1.727569461,
Afghanistan,AFG,"Population ages 80 and above, male (% of male population)",SP.POP.80UP.MA.5Y,0.178381972,0.196247556,0.207908971,0.211451734,0.205246795,0.187471901,0.203642064,0.213418641,0.215458469,0.208783137,0.192030084,0.207566663,0.217250927,0.219167653,0.212076151,0.195027421,0.208815936,0.215154585,0.212617342,0.200581077,0.178012876,0.195992375,0.2071619,0.207350348,0.192440454,0.158669995,0.17129441,0.179464685,0.180763099,0.172983205,0.154288273,0.160107352,0.165619188,0.17113083,0.17708794,0.184048616,0.196745446,0.204180063,0.206485059,0.203791639,0.195790115,0.206039817,0.211963368,0.212900362,0.20866164,0.199279681,0.211914419,0.220410834,0.223721462,0.221196908,0.212844934,0.220805727,0.224492846,0.223954195,0.219262687,0.210520471,0.222076282,0.229793236,0.233325824,
Angola,AGO,"Population ages 80 and above, male (% of male population)",SP.POP.80UP.MA.5Y,0.150232839,0.202193679,0.258218678,0.302631355,0.321408994,0.31119809,0.316810152,0.299341232,0.258963503,0.19332333,0.114058181,0.127058688,0.144225256,0.161837568,0.177361158,0.189205632,0.217244214,0.241362567,0.257304918,0.26108907,0.252076442,0.26473702,0.268292279,0.264504041,0.254709295,0.238752148,0.248937886,0.253927912,0.252068091,0.242064025,0.223859969,0.23062587,0.231634219,0.227191289,0.217831235,0.203247857,0.21336478,0.219280908,0.219484498,0.21273756,0.198662934,0.206280706,0.208911017,0.206806307,0.200574592,0.189834088,0.200537062,0.206918065,0.208257862,0.2042559,0.194687512,0.205322433,0.211438273,0.212169016,0.206965323,0.195798146,0.204221751,0.208335042,0.207532625,
Albania,ALB,"Population ages 80 and above, male (% of male population)",SP.POP.80UP.MA.5Y,0.825624807,0.840054927,0.846935736,0.848121667,0.84798007,0.846722581,0.868158431,0.884983329,0.887765608,0.867438073,0.822880643,0.804485315,0.766184558,0.718520395,0.673152917,0.633334222,0.657040402,0.678725682,0.690799735,0.685649473,0.663114759,0.679525478,0.681587227,0.672304034,0.656044105,0.634223798,0.661958016,0.681059814,0.689685748,0.688193547,0.6777568,0.726875955,0.763680236,0.784680507,0.787378307,0.769543777,0.812321851,0.847685841,0.869926421,0.872426466,0.851591342,0.88420089,0.897572612,0.900281362,0.903983846,0.913223473,1.006615234,1.103358307,1.197811148,1.286610081,1.372664417,1.517936699,1.651256163,1.772630664,1.88527235,1.992448296,2.156543003,2.310171286,2.448078694,
Andorra,AND,"Population ages 80 and above, male (% of male population)",SP.POP.80UP.MA.5Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Population ages 80 and above, male (% of male population)",SP.POP.80UP.MA.5Y,0.273228019,0.292036354,0.303978892,0.307646356,0.302299861,0.287765107,0.304137694,0.313627459,0.315376951,0.309250726,0.295288374,0.313427956,0.324918689,0.329067096,0.325657719,0.31471626,0.333824289,0.346095371,0.35039353,0.346510112,0.334782004,0.351268233,0.360579394,0.362364351,0.357052063,0.345086355,0.362864191,0.374022757,0.377468867,0.372734507,0.358842113,0.375587829,0.388491052,0.393099427,0.391235892,0.381489774,0.400337043,0.412164345,0.417244208,0.416361617,0.409981421,0.433872188,0.451423899,0.461634302,0.464143475,0.459122587,0.482774815,0.498305165,0.505695559,0.505816601,0.499581822,0.524041312,0.541370487,0.550513112,0.551063857,0.543525156,0.566648478,0.582724346,0.590620792,
United Arab Emirates,ARE,"Population ages 80 and above, male (% of male population)",SP.POP.80UP.MA.5Y,0.244229273,0.228148546,0.213661057,0.195918601,0.176360178,0.156944808,0.153595287,0.147386831,0.137258443,0.128239848,0.115649689,0.100724441,0.08751485,0.077297933,0.067489814,0.057272264,0.05427238,0.052473008,0.050034037,0.043632556,0.033566039,0.02788578,0.023247128,0.019352215,0.022519044,0.033004713,0.048670318,0.063360904,0.077463285,0.092088629,0.10706656,0.124721184,0.142113898,0.153597104,0.154209106,0.144612934,0.134842177,0.120271292,0.105799444,0.095699297,0.091113698,0.092239426,0.095054783,0.097115875,0.096297536,0.092614985,0.08268179,0.073622218,0.066443782,0.061965223,0.060053477,0.068012805,0.077249466,0.086064405,0.092105786,0.094542831,0.097172856,0.09741517,0.09768939,
Argentina,ARG,"Population ages 80 and above, male (% of male population)",SP.POP.80UP.MA.5Y,0.480514118,0.514258416,0.539753899,0.556158751,0.564041574,0.563942577,0.612057195,0.650311001,0.675397362,0.685762035,0.681976848,0.731585304,0.767636112,0.787838553,0.791482171,0.779567271,0.829000501,0.862695603,0.879669256,0.881161979,0.86880956,0.92310225,0.963972528,0.988121947,0.993513552,0.980403364,1.039270513,1.079063495,1.098565925,1.098792652,1.081269905,1.135552315,1.175579064,1.198806939,1.202907262,1.187802486,1.238468322,1.272609809,1.290898997,1.295056908,1.28617791,1.347044957,1.392154498,1.420814668,1.433613597,1.431543498,1.496854625,1.54625194,1.577737441,1.589930461,1.583245099,1.642149304,1.682756777,1.703817165,1.704462348,1.685828154,1.732891393,1.762065857,1.774818804,
Armenia,ARM,"Population ages 80 and above, male (% of male population)",SP.POP.80UP.MA.5Y,0.894683395,0.917348951,0.920747756,0.908037248,0.887099565,0.8625482,0.909740612,0.947184394,0.960912358,0.941827932,0.892174543,0.906852983,0.903776766,0.886658119,0.859569624,0.826636583,0.829835737,0.826288382,0.81705706,0.804210433,0.790083275,0.820925013,0.84554103,0.862551299,0.871541613,0.873392481,0.898255145,0.905579884,0.89474958,0.867424509,0.826854489,0.873708402,0.920642057,0.954486697,0.957357062,0.922432471,0.915503788,0.888842194,0.850799446,0.809483306,0.770132971,0.797420099,0.811311763,0.82872636,0.875221569,0.960288757,1.166725171,1.397024476,1.610582338,1.763366327,1.839416319,1.940599589,1.983859449,1.998956785,2.024490094,2.070843934,2.214097757,2.362126289,2.459599597,
American Samoa,ASM,"Population ages 80 and above, male (% of male population)",SP.POP.80UP.MA.5Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
