RACE_HIS,SEX,YEAR,BIRTHS
0,0,2017,4053964
0,0,2018,4075205
0,0,2019,4094965
0,0,2020,4112212
0,0,2021,4126260
0,0,2022,4137447
0,0,2023,4145830
0,0,2024,4151840
0,0,2025,4156183
0,0,2026,4159544
0,0,2027,4161942
0,0,2028,4162983
0,0,2029,4162909
0,0,2030,4162235
0,0,2031,4161402
0,0,2032,4160908
0,0,2033,4161216
0,0,2034,4162724
0,0,2035,4165559
0,0,2036,4169767
0,0,2037,4175238
0,0,2038,4181562
0,0,2039,4188603
0,0,2040,4196124
0,0,2041,4204054
0,0,2042,4212666
0,0,2043,4221964
0,0,2044,4231999
0,0,2045,4242827
0,0,2046,4254412
0,0,2047,4266553
0,0,2048,4279044
0,0,2049,4291718
0,0,2050,4304281
0,0,2051,4316494
0,0,2052,4328146
0,0,2053,4339127
0,0,2054,4349392
0,0,2055,4358874
0,0,2056,4367617
0,0,2057,4375688
0,0,2058,4383168
0,0,2059,4390193
0,0,2060,4396902
0,1,2017,2072848
0,1,2018,2083693
0,1,2019,2093769
0,1,2020,2102569
0,1,2021,2109721
0,1,2022,2115412
0,1,2023,2119665
0,1,2024,2122703
0,1,2025,2124884
0,1,2026,2126569
0,1,2027,2127752
0,1,2028,2128250
0,1,2029,2128171
0,1,2030,2127789
0,1,2031,2127335
0,1,2032,2127041
0,1,2033,2127166
0,1,2034,2127904
0,1,2035,2129323
0,1,2036,2131447
0,1,2037,2134213
0,1,2038,2137423
0,1,2039,2141001
0,1,2040,2144823
0,1,2041,2148853
0,1,2042,2153242
0,1,2043,2157977
0,1,2044,2163091
0,1,2045,2168619
0,1,2046,2174531
0,1,2047,2180729
0,1,2048,2187102
0,1,2049,2193568
0,1,2050,2199978
0,1,2051,2206209
0,1,2052,2212153
0,1,2053,2217745
0,1,2054,2222978
0,1,2055,2227802
0,1,2056,2232245
0,1,2057,2236342
0,1,2058,2240139
0,1,2059,2243702
0,1,2060,2247110
0,2,2017,1981116
0,2,2018,1991512
0,2,2019,2001196
0,2,2020,2009643
0,2,2021,2016539
0,2,2022,2022035
0,2,2023,2026165
0,2,2024,2029137
0,2,2025,2031299
0,2,2026,2032975
0,2,2027,2034190
0,2,2028,2034733
0,2,2029,2034738
0,2,2030,2034446
0,2,2031,2034067
0,2,2032,2033867
0,2,2033,2034050
0,2,2034,2034820
0,2,2035,2036236
0,2,2036,2038320
0,2,2037,2041025
0,2,2038,2044139
0,2,2039,2047602
0,2,2040,2051301
0,2,2041,2055201
0,2,2042,2059424
0,2,2043,2063987
0,2,2044,2068908
0,2,2045,2074208
0,2,2046,2079881
0,2,2047,2085824
0,2,2048,2091942
0,2,2049,2098150
0,2,2050,2104303
0,2,2051,2110285
0,2,2052,2115993
0,2,2053,2121382
0,2,2054,2126414
0,2,2055,2131072
0,2,2056,2135372
0,2,2057,2139346
0,2,2058,2143029
0,2,2059,2146491
0,2,2060,2149792
1,0,2017,2850742
1,0,2018,2858441
1,0,2019,2865012
1,0,2020,2869756
1,0,2021,2872344
1,0,2022,2873085
1,0,2023,2871874
1,0,2024,2868908
1,0,2025,2864607
1,0,2026,2859455
1,0,2027,2853571
1,0,2028,2846810
1,0,2029,2839464
1,0,2030,2831890
1,0,2031,2824224
1,0,2032,2816635
1,0,2033,2809309
1,0,2034,2802439
1,0,2035,2795996
1,0,2036,2789860
1,0,2037,2783959
1,0,2038,2778231
1,0,2039,2772700
1,0,2040,2767296
1,0,2041,2762072
1,0,2042,2757285
1,0,2043,2752938
1,0,2044,2749031
1,0,2045,2745636
1,0,2046,2742727
1,0,2047,2740209
1,0,2048,2737941
1,0,2049,2735816
1,0,2050,2733717
1,0,2051,2731482
1,0,2052,2728969
1,0,2053,2726113
1,0,2054,2722856
1,0,2055,2719141
1,0,2056,2714949
1,0,2057,2710275
1,0,2058,2705178
1,0,2059,2699703
1,0,2060,2693893
1,1,2017,1458789
1,1,2018,1462697
1,1,2019,1466024
1,1,2020,1468413
1,1,2021,1469695
1,1,2022,1470028
1,1,2023,1469360
1,1,2024,1467791
1,1,2025,1465536
1,1,2026,1462845
1,1,2027,1459779
1,1,2028,1456264
1,1,2029,1452451
1,1,2030,1448521
1,1,2031,1444547
1,1,2032,1440613
1,1,2033,1436816
1,1,2034,1433254
1,1,2035,1429914
1,1,2036,1426735
1,1,2037,1423680
1,1,2038,1420715
1,1,2039,1417855
1,1,2040,1415061
1,1,2041,1412362
1,1,2042,1409889
1,1,2043,1407643
1,1,2044,1405623
1,1,2045,1403867
1,1,2046,1402360
1,1,2047,1401052
1,1,2048,1399871
1,1,2049,1398762
1,1,2050,1397664
1,1,2051,1396495
