RACE_HISP,SEX,YEAR,TOTAL_NIM,NIM_0,NIM_1,NIM_2,NIM_3,NIM_4,NIM_5,NIM_6,NIM_7,NIM_8,NIM_9,NIM_10,NIM_11,NIM_12,NIM_13,NIM_14,NIM_15,NIM_16,NIM_17,NIM_18,NIM_19,NIM_20,NIM_21,NIM_22,NIM_23,NIM_24,NIM_25,NIM_26,NIM_27,NIM_28,NIM_29,NIM_30,NIM_31,NIM_32,NIM_33,NIM_34,NIM_35,NIM_36,NIM_37,NIM_38,NIM_39,NIM_40,NIM_41,NIM_42,NIM_43,NIM_44,NIM_45,NIM_46,NIM_47,NIM_48,NIM_49,NIM_50,NIM_51,NIM_52,NIM_53,NIM_54,NIM_55,NIM_56,NIM_57,NIM_58,NIM_59,NIM_60,NIM_61,NIM_62,NIM_63,NIM_64,NIM_65,NIM_66,NIM_67,NIM_68,NIM_69,NIM_70,NIM_71,NIM_72,NIM_73,NIM_74,NIM_75,NIM_76,NIM_77,NIM_78,NIM_79,NIM_80,NIM_81,NIM_82,NIM_83,NIM_84,NIM_85
0,0,2017,996800,20568,16084,14182,12235,10893,10365,10459,10849,11478,11967,11996,11652,11386,11833,12915,15577,19659,24591,30149,33997,36788,38200,38736,38747,38015,37411,35874,34194,32902,30656,28631,25580,22863,20353,18622,17295,15705,13761,13293,12234,11063,9850,9050,8556,8442,7954,6930,5465,4437,3383,2718,2062,1975,2333,3126,3826,4265,4604,4891,4941,4881,4476,3910,3319,2971,2662,2236,1608,1842,1599,1502,1796,1557,1219,801,901,551,441,342,147,-48,-277,-599,-854,-1159,-11590
0,0,2018,1001528,20761,17423,13981,12133,10925,10415,10553,10939,11531,12069,12076,11797,11439,11932,13093,15744,19992,24890,30212,34594,37202,38468,39249,39038,38704,37807,36445,34622,32909,30946,28663,25856,23199,20589,18965,17437,15856,14216,12746,12289,11142,9875,9210,8505,8414,8055,7044,5558,3970,3214,2502,2108,2142,2328,2895,3648,4237,4698,4673,4941,4818,4411,3784,3151,2716,2466,2039,1810,1453,1604,1405,1137,1375,1049,915,524,564,380,225,68,-140,-328,-672,-983,-1209,-11898
0,0,2019,1005801,20951,17579,15132,11969,10832,10436,10580,10995,11596,12094,12269,11921,11544,12009,13212,15951,20206,25282,30592,34686,37833,38909,39536,39522,38992,38422,36827,35117,33286,30974,28902,25896,23433,20910,19157,17756,16007,14375,13167,11725,11182,9919,9218,8654,8359,8039,7130,5661,4023,2664,2324,1896,2152,2497,2897,3444,4078,4652,4772,4726,4784,4356,3701,2994,2517,2200,1854,1621,1630,1236,1362,1058,685,910,715,612,244,348,143,-23,-190,-432,-757,-1031,-1367,-12238
0,0,2020,1009861,21140,17735,15248,12950,10689,10354,10586,11008,11630,12132,12228,12111,11693,12077,13306,16103,20444,25579,31057,35134,37929,39585,39940,39845,39446,38672,37397,35513,33694,31361,28914,26167,23456,21126,19429,17877,16302,14543,13343,12126,10647,9957,9240,8677,8510,7967,7125,5735,4115,2696,1743,1719,1940,2512,3038,3467,3921,4508,4736,4817,4580,4315,3654,2893,2350,1939,1629,1436,1442,1425,1026,998,589,227,583,396,311,44,119,-125,-286,-477,-862,-1152,-1414,-12718
0,0,2021,1013839,21322,17882,15364,13041,11499,10244,10519,11007,11623,12143,12279,12060,11856,12198,13377,16228,20630,25893,31423,35694,38399,39717,40576,40222,39770,39071,37653,35993,34107,31705,29276,26166,23718,21164,19643,18141,16419,14830,13499,12310,11036,9510,9249,8712,8523,8121,7033,5720,4180,2776,1768,1156,1761,2307,3074,3583,3938,4391,4621,4795,4638,4091,3586,2823,2208,1771,1326,1230,1245,1235,1210,690,563,137,-86,281,94,98,-176,-149,-399,-604,-911,-1264,-1546,-13167
0,0,2022,1017445,21504,18027,15472,13130,11556,10900,10438,10953,11612,12116,12277,12119,11836,12325,13524,16324,20800,26136,31796,36112,39008,40211,40728,40815,40133,39326,38026,36270,34507,32095,29535,26467,23692,21425,19696,18357,16706,14972,13769,12469,11198,9877,8870,8729,8555,8126,7199,5599,4143,2829,1825,1174,1216,2142,2877,3632,4033,4389,4531,4668,4606,4118,3297,2713,2118,1598,1151,938,1046,1045,1008,844,256,110,-164,-360,-15,-135,-146,-423,-460,-709,-1057,-1328,-1668,-13714
0,0,2023,1021097,21681,18171,15580,13212,11613,10940,10967,10893,11567,12108,12236,12083,11904,12315,13653,16461,20938,26388,32095,36561,39419,40863,41199,41001,40665,39653,38251,36579,34803,32466,29885,26697,23916,21433,19890,18429,16939,15285,13914,12746,11381,10009,9195,8435,8568,8158,7209,5781,3994,2782,1874,1228,1234,1653,2735,3468,4111,4471,4544,4601,4478,4078,3320,2370,1997,1475,987,748,761,853,837,665,397,-180,-204,-445,-577,-224,-367,-434,-693,-818,-1143,-1501,-1755,-14358
0,0,2024,1024775,21852,18313,15685,13296,11666,10974,10989,11334,11519,12045,12198,12055,11859,12349,13677,16629,21076,26587,32403,36911,39871,41307,41798,41483,40861,40106,38570,36785,35012,32754,30217,27036,24131,21673,19913,18588,17021,15530,14228,12873,11660,10203,9266,8733,8315,8153,7239,5779,4186,2620,1847,1296,1285,1682,2307,3364,3970,4554,4640,4604,4403,3940,3276,2388,1619,1348,848,619,592,579,643,487,217,-70,-476,-445,-672,-728,-424,-614,-731,-1039,-1290,-1591,-1948,-15033
0,0,2025,1029924,22022,18450,15788,13373,11719,11010,11016,11353,11896,12023,12155,12047,11898,12354,13725,16683,21281,26787,32668,37285,40240,41752,42231,42032,41350,40303,39033,37125,35254,32976,30474,27359,24449,21896,20181,18627,17248,15644,14486,13193,11777,10500,9439,8788,8581,7915,7224,5805,4160,2828,1682,1322,1367,1752,2366,3021,3889,4429,4727,4725,4417,3862,3111,2346,1663,961,754,501,504,491,409,310,60,-210,-407,-655,-632,-767,-843,-628,-871,-1065,-1501,-1755,-2011,-15803
0,0,2026,1041509,22196,18603,15918,13488,11816,11093,11093,11431,11975,12388,12322,12184,12023,12480,13855,16824,21439,27087,32979,37665,40718,42243,42719,42514,41913,40809,39352,37598,35704,33355,30844,27741,24837,22314,20486,18960,17383,15972,14732,13548,12150,10667,9791,9012,8651,8183,7022,5833,4221,2823,1929,1172,1437,1872,2477,3131,3680,4383,4655,4817,4577,3927,3105,2227,1652,1102,476,467,472,486,463,223,21,-248,-388,-523,-662,-658,-730,-900,-827,-1134,-1501,-1954,-2188,-16483
0,0,2027,1047831,22365,18754,16051,13600,11910,11181,11175,11516,12061,12472,12420,12204,12083,12570,13963,16973,21623,27323,33340,38019,41097,42694,43179,42955,42325,41283,39752,37883,35990,33625,31091,28002,25087,22538,20759,19165,17562,15988,14885,13684,12405,10910,9831,9242,8803,8226,7278,5576,4241,2880,1913,1404,1273,1924,2553,3204,3731,4199,4614,4745,4634,4054,3090,2139,1470,1011,535,167,373,395,356,182,-173,-392,-537,-597,-687,-778,-785,-924,-1188,-1175,-1620,-2007,-2448,-17363
0,0,2028,1053699,22531,18904,16182,13711,12003,11267,11256,11592,12143,12556,12497,12299,12116,12628,14053,17086,21795,27548,33619,38423,41474,43087,43620,43399,42745,41673,40189,38256,36250,33888,31328,28223,25319,22763,20963,19420,17748,16149,14886,13819,12519,11134,10040,9271,9005,8367,7305,5841,3929,2892,1963,1380,1488,1775,2603,3279,3802,4251,4447,4699,4560,4103,3221,2111,1367,816,444,225,99,306,272,72,-225,-597,-688,-744,-758,-803,-899,-979,-1214,-1610,-1673,-2149,-2509,-18447
0,0,2029,1059134,22692,19049,16310,13818,12096,11346,11334,11674,12225,12637,12578,12373,12219,12668,14116,17188,21930,27760,33893,38743,41900,43470,44011,43822,43161,42061,40552,38654,36589,34116,31554,28426,25506,22966,21166,19603,17990,16325,15037,13802,12637,11234,10232,9456,9027,8551,7437,5857,4208,2541,1971,1427,1465,1971,2481,3330,3873,4316,4497,4543,4507,4011,3265,2240,1318,698,244,139,149,55,185,-16,-340,-657,-902,-894,-899,-871,-922,-1091,-1278,-1639,-2200,-2216,-2677,-19489
0,0,2030,1064146,22849,19191,16433,13925,12187,11429,11411,11749,12302,12715,12651,12443,12291,12797,14167,17262,22055,27928,34143,39052,42239,43903,44391,44200,43562,42446,40915,38989,36950,34421,31755,28622,25682,23133,21353,19790,18159,16560,15202,13942,12607,11321,10310,9621,9190,8562,7617,5987,4213,2833,1594,1433,1505,1953,2656,3233,3925,4388,4564,4589,4337,3943,3145,2274,1448,642,124,-53,71,107,-52,-108,-436,-781,-968,-1105,-1043,-1007,-989,-1116,-1402,-1714,-2241,-2852,-2757,-20616
0,0,2031,1068776,23002,19328,16554,14027,12274,11506,11486,11824,12377,12790,12724,12514,12363,12868,14345,17326,22145,28081,34348,39339,42564,44247,44817,44574,43922,42818,41274,39320,37255,34750,32027,28792,25849,23285,21497,19958,18334,16719,15428,14097,12729,11286,10373,9679,9331,8710,7616,6171,4342,2829,1896,1063,1509,1989,2638,3388,3846,4438,4632,4653,4379,3744,3055,2126,1472,770,67,-164,-108,37,-4,-343,-536,-886,-1098,-1175,-1247,-1143,-1119,-1184,-1429,-1862,-2334,-2902,-3493,-21713
0,0,2032,1073062,23147,19463,16671,14127,12359,11585,11554,11894,12452,12865,12793,12584,12431,12937,14423,17573,22230,28197,34530,39568,42869,44586,45163,44985,44280,43153,41617,39649,37558,35026,32322,29031,25996,23430,21631,20089,18490,16880,15574,14313,12874,11389,10331,9719,9375,8835,7759,6154,4535,2960,1884,1351,1159,1996,2675,3373,3986,4371,4686,4721,4439,3776,2813,2014,1304,787,190,-217,-207,-133,-73,-302,-785,-998,-1209,-1306,-1315,-1333,-1248,-1313,-1504,-1894,-2514,-3017,-3552,-23499
0,0,2033,1077135,23293,19590,16786,14225,12442,11656,11625,11965,12522,12934,12862,12650,12495,13003,14499,17666,22555,28303,34672,39780,43114,44899,45494,45323,44663,43488,41931,39970,37858,35299,32566,29298,26202,23559,21760,20208,18609,17025,15728,14450,13074,11523,10420,9681,9394,8866,7874,6298,4501,3158,2015,1340,1428,1684,2682,3410,3977,4498,4631,4774,4505,3834,2839,1727,1173,605,201,-101,-250,-223,-233,-375,-747,-1263,-1333,-1418,-1440,-1399,-1426,-1442,-1645,-1986,-2552,-3239,-3687,-25185
0,0,2034,1080985,23432,19718,16897,14320,12526,11731,11696,12034,12589,13000,12927,12712,12557,13068,14574,17759,22678,28722,34802,39939,43341,45157,45812,45652,44988,43846,42242,40256,38146,35569,32809,29509,26434,23741,21869,20322,18717,17134,15864,14592,13194,11700,10537,9753,9352,8871,7893,6410,4647,3111,2218,1464,1418,1928,2412,3416,4008,4492,4747,4718,4557,3899,2893,1741,850,464,20,-89,-144,-258,-318,-532,-830,-1230,-1605,-1543,-1551,-1519,-1490,-1622,-1787,-2153,-2666,-3287,-3944,-26841
0,0,2035,1084592,23566,19845,17010,14414,12605,11801,11762,12099,12658,13066,12993,12775,12620,13130,14645,17847,22793,28872,35299,40089,43518,45395,46079,45965,45301,44152,42574,40543,38407,35823,33049,29723,26618,23949,22034,20417,18816,17230,15960,14721,13327,11806,10693,9861,9416,8821,7884,6418,4764,3261,2162,1662,1534,1921,2627,3189,4013,4521,4743,4832,4498,3944,2951,1789,854,123,-127,-265,-134,-160,-357,-623,-992,-1325,-1579,-1816,-1672,-1623,-1605,-1684,-1984,-2325,-2874,-3424,-4007,-28609
0,0,2036,1087957,23699,19964,17115,14506,12681,11873,11827,12163,12723,13134,13050,12832,12678,13189,14714,17934,22902,29015,35479,40638,43676,45583,46321,46230,45607,44447,42864,40849,38668,36062,33273,29930,26799,24107,22218,20567,18901,17318,16049,14804,13441,11925,10783,9997,9513,8873,7823,6397,4765,3384,2312,1609,1719,2027,2622,3376,3823,4523,4771,4823,4607,3868,2990,1839,899,121,-466,-406,-300,-150,-267,-669,-1093,-1493,-1682,-1791,-1932,-1735,-1703,-1798,-2055,-2553,-3082,-3677,-4165,-30245
0,0,2037,1091035,23827,20083,17220,14594,12756,11936,11887,12225,12785,13193,13112,12892,12736,13249,14779,18013,23012,29158,35653,40846,44237,45749,46517,46480,45870,44735,43136,41113,38944,36295,33481,30134,26979,24269,22364,20735,19038,17395,16127,14882,13517,12023,10884,10073,9635,8969,7863,6312,4730,3368,2431,1753,1667,2194,2717,3374,3987,4358,4769,4849,4594,3986,2893,1875,946,160,-472,-729,-432,-304,-259,-583,-1150,-1603,-1854,-1899,-1911,-1980,-1809,-1898,-2179,-2640,-3363,-3929,-4458,-31876
0,0,2038,1093813,23949,20195,17320,14686,12831,12003,11948,12285,12843,13252,13171,12947,12791,13306,14844,18094,23115,29294,35823,41043,44453,46291,46692,46686,46115,44986,43407,41361,39180,36539,33684,30312,27153,24427,22507,20864,19193,17526,16189,14952,13585,12089,10968,10166,9703,9079,7950,6347,4623,3327,2415,1869,1801,2148,2869,3462,3987,4502,4623,4846,4621,3965,3016,1757,974,201,-435,-736,-728,-431,-406,-576,-1070,-1677,-1974,-2068,-2016,-1962,-2037,-2003,-2290,-2787,-3467,-4273,-4756,-33645
