Year,United States
1960,50.45505592
1961,50.47311479
1962,50.4885358
1963,50.50449438
1964,50.52501666
1965,50.55253301
1966,50.58865525
1967,50.63172457
1968,50.67694948
1969,50.71777868
1970,50.7498649
1971,50.77107818
1972,50.78349324
1973,50.79193188
1974,50.80316322
1975,50.82157373
1976,50.84906999
1977,50.88312084
1978,50.91840029
1979,50.94757585
1980,50.96585025
1981,50.97105669
1982,50.96568113
1983,50.95516491
1984,50.94706889
1985,50.9463217
1986,50.95485152
1987,50.96994207
1988,50.9863034
1989,50.99658642
1990,50.99587435
1991,50.98290983
1992,50.96004793
1993,50.93048518
1994,50.89885684
1995,50.86858463
1996,50.84054109
1997,50.8141049
1998,50.78931082
1999,50.76578431
2000,50.74326868
2001,50.72170883
2002,50.70144626
2003,50.6829866
2004,50.6669921
2005,50.65380201
2006,50.64389646
2007,50.63678471
2008,50.6307101
2009,50.62334814
2010,50.61318905
2011,50.59960338
2012,50.58340493
2013,50.56629629
2014,50.55067347
2015,50.53822117
2016,50.5293128
2017,50.52338227
2018,50.52001465
2019,50.708293
2020,50.70694
2021,50.705587
2022,50.704234
2023,50.702881
2024,50.701528
2025,50.700175
2026,50.698822
2027,50.697469
2028,50.696116
2029,50.694763
2030,50.69341
2031,50.692057
2032,50.690704
2033,50.689351
2034,50.687998
2035,50.686645
2036,50.685292
2037,50.683939
2038,50.682586
2039,50.681233
2040,50.67988
2041,50.678527
2042,50.677174
2043,50.675821
2044,50.674468
2045,50.673115
2046,50.671762
2047,50.670409
2048,50.669056
2049,50.667703
2050,50.66635
2051,50.664997
2052,50.663644
2053,50.662291
2054,50.660938
2055,50.659585
2056,50.658232
2057,50.656879
2058,50.655526
2059,50.654173
2060,50.65282
2061,50.651467
2062,50.650114
2063,50.648761
2064,50.647408
2065,50.646055
2066,50.644702
2067,50.643349
2068,50.641996
2069,50.640643
2070,50.63929
2071,50.637937
2072,50.636584
2073,50.635231
2074,50.633878
2075,50.632525
2076,50.631172
2077,50.629819
2078,50.628466
2079,50.627113
2080,50.62576
2081,50.624407
2082,50.623054
2083,50.621701
2084,50.620348
2085,50.618995
2086,50.617642
2087,50.616289
2088,50.614936
2089,50.613583
2090,50.61223
2091,50.610877
2092,50.609524
2093,50.608171
2094,50.606818
2095,50.605465
2096,50.604112
2097,50.602759
2098,50.601406
2099,50.600053
2100,50.5987
2101,50.597347
2102,50.595994
2103,50.594641
2104,50.593288
2105,50.591935
2106,50.590582
2107,50.589229
2108,50.587876
2109,50.586523
2110,50.58517
2111,50.583817
2112,50.582464
2113,50.581111
2114,50.579758
2115,50.578405
2116,50.577052
2117,50.575699
2118,50.574346
2119,50.572993
2120,50.57164
2121,50.570287
2122,50.568934
2123,50.567581
2124,50.566228
2125,50.564875
2126,50.563522
2127,50.562169
2128,50.560816
2129,50.559463
2130,50.55811
2131,50.556757
2132,50.555404
2133,50.554051
2134,50.552698
2135,50.551345
2136,50.549992
2137,50.548639
2138,50.547286
2139,50.545933
2140,50.54458
2141,50.543227
2142,50.541874
2143,50.540521
2144,50.539168
2145,50.537815
2146,50.536462
2147,50.535109
2148,50.533756
2149,50.532403
2150,50.53105
2151,50.529697
2152,50.528344
2153,50.526991
2154,50.525638
2155,50.524285
2156,50.522932
2157,50.521579
2158,50.520226
2159,50.518873
2160,50.51752
2161,50.516167
2162,50.514814
2163,50.513461
2164,50.512108
2165,50.510755
2166,50.509402
2167,50.508049
2168,50.506696
2169,50.505343
2170,50.50399
2171,50.502637
2172,50.501284
2173,50.499931
2174,50.498578
2175,50.497225
2176,50.495872
2177,50.494519
2178,50.493166
2179,50.491813
2180,50.49046
2181,50.489107
2182,50.487754
2183,50.486401
2184,50.485048
2185,50.483695
2186,50.482342
2187,50.480989
2188,50.479636
2189,50.478283
2190,50.47693
2191,50.475577
2192,50.474224
2193,50.472871
2194,50.471518
2195,50.470165
2196,50.468812
2197,50.467459
2198,50.466106
2199,50.464753
2200,50.4634
